Продукт,Калорийность,Белки,Жиры,Углеводы
"Рулет из индейки, белое и темное мясо",149 кКал,149 кКал,149 кКал,149 кКал
"Рулет из индейки, белое мясо",106 кКал,106 кКал,106 кКал,106 кКал
"Рулет из куриных грудок, запеченный в духовке",134 кКал,134 кКал,134 кКал,134 кКал
"Салями, воздушной варки, из говядины",261 кКал,261 кКал,261 кКал,261 кКал
"Салями, воздушной варки, из говядины и свинины",336 кКал,336 кКал,336 кКал,336 кКал
"Салями, воздушной варки, индюшатина",172 кКал,172 кКал,172 кКал,172 кКал
"Салями, из свинины, и говядины, меньше натрия",396 кКал,396 кКал,396 кКал,396 кКал
"Салями, итальянская, свинина",425 кКал,425 кКал,425 кКал,425 кКал
"Салями, сухая или твердая, свинина",407 кКал,407 кКал,407 кКал,407 кКал
"Салями, сухая или твердая, свинина, говядина",378 кКал,378 кКал,378 кКал,378 кКал
"Сарделька (сосиска), говядина",315 кКал,315 кКал,315 кКал,315 кКал
"Сарделька (сосиска), говядина и свинина",305 кКал,305 кКал,305 кКал,305 кКал
"Сарделька (сосиска), говядина, свинина, индейка, обезжиринная, 1.6% жира",109 кКал,109 кКал,109 кКал,109 кКал
"Сарделька (сосиска), говяжья, разогретая",322 кКал,322 кКал,322 кКал,322 кКал
"Сарделька (сосиска), индейка",223 кКал,223 кКал,223 кКал,223 кКал
"Сарделька (сосиска), куриная",223 кКал,223 кКал,223 кКал,223 кКал
"Сарделька (сосиска), мясная",290 кКал,290 кКал,290 кКал,290 кКал
"Сарделька (сосиска), мясная и домашняя птица, маложирная, 2.8% жира",121 кКал,121 кКал,121 кКал,121 кКал
"Сарделька (сосиска), мясная, маложирная, 10% жира",140 кКал,140 кКал,140 кКал,140 кКал
"Сарделька (сосиска), мясная, разогретая",278 кКал,278 кКал,278 кКал,278 кКал
"Сарделька (сосиска), с низким содерж. Натрия",312 кКал,312 кКал,312 кКал,312 кКал
