Продукт,Калорийность,Белки,Жиры,Углеводы
"Мозги бараньи, тушеные",145 кКал,145 кКал,145 кКал,145 кКал
"Мозги, бараньи",122 кКал,122 кКал,122 кКал,122 кКал
"Мясной набор, баранина, мясо и жир, обрезь до 1/4'' жира, отборная, вареная",294 кКал,294 кКал,294 кКал,294 кКал
"Мясной набор, баранина, мясо и жир, обрезь до 1/4'' жира, отборная, сырая",267 кКал,267 кКал,267 кКал,267 кКал
"Мясной набор, баранина, мясо и жир, обрезь до 1/8'' жира, отборная, вареная",271 кКал,271 кКал,271 кКал,271 кКал
"Мясной набор, баранина, мясо и жир, обрезь до 1/8'' жира, отборная, сырая",243 кКал,243 кКал,243 кКал,243 кКал
"Мясной набор, баранина, Новая Зеландия, замороженная, мясо и жир, вареная",305 кКал,305 кКал,305 кКал,305 кКал
"Мясной набор, баранина, Новая Зеландия, замороженная, мясо и жир, обрезь до 1/8'' жира, отборная, вареная",270 кКал,270 кКал,270 кКал,270 кКал
"Мясной набор, баранина, Новая Зеландия, замороженная, мясо и жир, обрезь до 1/8'' жира, отборная, сырая",232 кКал,232 кКал,232 кКал,232 кКал
"Мясной набор, баранина, Новая Зеландия, замороженная, мясо и жир, сырая",277 кКал,277 кКал,277 кКал,277 кКал
"Мясной набор, баранина, Новая Зеландия, замороженная, только жир, вареная",586 кКал,586 кКал,586 кКал,586 кКал
"Мясной набор, баранина, Новая Зеландия, замороженная, только жир, сырая",640 кКал,640 кКал,640 кКал,640 кКал
"Мясной набор, баранина, Новая Зеландия, замороженная, только мясо, вареная",206 кКал,206 кКал,206 кКал,206 кКал
"Мясной набор, баранина, Новая Зеландия, замороженная, только мясо, сырая",128 кКал,128 кКал,128 кКал,128 кКал
"Мясной набор, баранина, только жир, обрезь до 1/4'' жира, отборная, вареная",586 кКал,586 кКал,586 кКал,586 кКал
"Мясной набор, баранина, только жир, обрезь до 1/4'' жира, отборная, сырая",665 кКал,665 кКал,665 кКал,665 кКал
"Мясной набор, баранина, только мясо, обрезь до 1/4'' жира, отборная, вареная",206 кКал,206 кКал,206 кКал,206 кКал
"Мясной набор, баранина, только мясо, обрезь до 1/4'' жира, отборная, сырая",134 кКал,134 кКал,134 кКал,134 кКал
Мясо косули,138 кКал,138 кКал,138 кКал,138 кКал
Мясо кролика,183 кКал,183 кКал,183 кКал,183 кКал
Мясо лося,101 кКал,101 кКал,101 кКал,101 кКал
Мясо сайгака,208 кКал,208 кКал,208 кКал,208 кКал
Мясо яка,112 кКал,112 кКал,112 кКал,112 кКал
"Нога передняя, с лопаткой, баранина, мясо и жир, обрезь до 1/8'' жира, жаренная",269 кКал,269 кКал,269 кКал,269 кКал
"Нога передняя, с лопаткой, баранина, мясо и жир, обрезь до 1/8'' жира, жаренная на открытом огне",268 кКал,268 кКал,268 кКал,268 кКал
"Нога передняя, с лопаткой, баранина, мясо и жир, обрезь до 1/8'' жира, сырая",244 кКал,244 кКал,244 кКал,244 кКал
"Нога передняя, с лопаткой, баранина, мясо и жир, обрезь до 1/8'' жира, тушеная",338 кКал,338 кКал,338 кКал,338 кКал
"Нога, передняя, с лопаткой, баранина, Новая Зеландия, замороженная, мясо и жир, обрезь до 1/8'' жира, сырая",251 кКал,251 кКал,251 кКал,251 кКал
"Нога, передняя, с лопаткой, баранина, Новая Зеландия, замороженная, мясо и жир, обрезь до 1/8'' жира, тушеная",342 кКал,342 кКал,342 кКал,342 кКал
"Нога, передняя, с лопаткой, баранина, Новая Зеландия, замороженная, мясо и жир, сырая",272 кКал,272 кКал,272 кКал,272 кКал
"Нога, передняя, с лопаткой, баранина, Новая Зеландия, замороженная, мясо и жир, тушеная",357 кКал,357 кКал,357 кКал,357 кКал
"Нога, передняя, с лопаткой, баранина, Новая Зеландия, замороженная, только мясо, сырая",154 кКал,154 кКал,154 кКал,154 кКал
"Нога, передняя, с лопаткой, баранина, Новая Зеландия, замороженная, только мясо, тушеная",285 кКал,285 кКал,285 кКал,285 кКал
"Нога, целая, баранина, мясо и жир, обрезь до 1/8'' жира, отборная, жаренная",242 кКал,242 кКал,242 кКал,242 кКал
"Нога, целая, баранина, мясо и жир, обрезь до 1/8'' жира, отборная, сырая",209 кКал,209 кКал,209 кКал,209 кКал
"Нога, целая, баранина, Новая Зеландия, замороженная, мясо и жир, жаренная",246 кКал,246 кКал,246 кКал,246 кКал
"Нога, целая, баранина, Новая Зеландия, замороженная, мясо и жир, обрезь до 1/8"" жира, жаренная",234 кКал,234 кКал,234 кКал,234 кКал
"Нога, целая, баранина, Новая Зеландия, замороженная, мясо и жир, обрезь до 1/8"" жира, сырая",201 кКал,201 кКал,201 кКал,201 кКал
"Нога, целая, баранина, Новая Зеландия, замороженная, мясо и жир, сырая",206 кКал,206 кКал,206 кКал,206 кКал
"Нога, целая, баранина, Новая Зеландия, замороженная, только мясо, жаренная",181 кКал,181 кКал,181 кКал,181 кКал
"Нога, целая, баранина, Новая Зеландия, замороженная, только мясо, сырая",126 кКал,126 кКал,126 кКал,126 кКал
Оленина 1 кат.,155 кКал,155 кКал,155 кКал,155 кКал
"Оленина тушеная, консервы",171 кКал,171 кКал,171 кКал,171 кКал
"Оленина, 2 категории",125 кКал,125 кКал,125 кКал,125 кКал
"Олень, (лань)",120 кКал,120 кКал,120 кКал,120 кКал
"Олень, (лань), запеченный",158 кКал,158 кКал,158 кКал,158 кКал
"Олень, (лань), мякоть плечевой части, только мясо, тушеный",191 кКал,191 кКал,191 кКал,191 кКал
"Олень, (лань), стейк из верхней части бедра, только мясо, жареный на открытом огне",152 кКал,152 кКал,152 кКал,152 кКал
"Олень, (лань), стейк из филея, только мясо, жаренный на открытом огне",150 кКал,150 кКал,150 кКал,150 кКал
"Олень, сырой, (Аляска, Ситка)",116 кКал,116 кКал,116 кКал,116 кКал
Ондатра (выхухоль),162 кКал,162 кКал,162 кКал,162 кКал
"Ондатра (выхухоль), запеченная",234 кКал,234 кКал,234 кКал,234 кКал
"Опоссум, запеченный",221 кКал,221 кКал,221 кКал,221 кКал
Печень баранья,101 кКал,101 кКал,101 кКал,101 кКал
Печень баранья,139 кКал,139 кКал,139 кКал,139 кКал
"Печень баранья, жаренная  на сковороде",238 кКал,238 кКал,238 кКал,238 кКал
"Печень баранья, тушеная",220 кКал,220 кКал,220 кКал,220 кКал
"Печень северного оленя карибу, (Аляска)",122 кКал,122 кКал,122 кКал,122 кКал
"Поджарка из баранины, по 1-408",409 кКал,409 кКал,409 кКал,409 кКал
Поджелудочная железа баранья,152 кКал,152 кКал,152 кКал,152 кКал
Поджелудочная железа баранья тушеная,234 кКал,234 кКал,234 кКал,234 кКал
Почки бараньи,77 кКал,77 кКал,77 кКал,77 кКал
Почки бараньи,97 кКал,97 кКал,97 кКал,97 кКал
"Почки бараньи, тушеные",137 кКал,137 кКал,137 кКал,137 кКал
"Рагу из баранины, по 1-430",152 кКал,152 кКал,152 кКал,152 кКал
"Рагу из кролика, по 2-10",123 кКал,123 кКал,123 кКал,123 кКал
"Ребра, баранина, мясо и жир, обрезь до 1/8'' жира, отборная, жаренная",341 кКал,341 кКал,341 кКал,341 кКал
"Ребра, баранина, мясо и жир, обрезь до 1/8'' жира, отборная, жаренная на открытом огне",340 кКал,340 кКал,340 кКал,340 кКал
"Ребра, баранина, мясо и жир, обрезь до 1/8'' жира, отборная, сырая",342 кКал,342 кКал,342 кКал,342 кКал
"Ребра, баранина, Новая Зеландия, замороженная, мясо и жир, жаренная",253 кКал,253 кКал,253 кКал,253 кКал
"Ребра, баранина, Новая Зеландия, замороженная, мясо и жир, обрезь дл 1/8'' жира, жаренная",317 кКал,317 кКал,317 кКал,317 кКал
"Ребра, баранина, Новая Зеландия, замороженная, мясо и жир, обрезь дл 1/8'' жира, сырая",311 кКал,311 кКал,311 кКал,311 кКал
"Ребра, баранина, Новая Зеландия, замороженная, мясо и жир, сырая",240 кКал,240 кКал,240 кКал,240 кКал
"Ребра, баранина, Новая Зеландия, замороженная, только мясо, жаренная",196 кКал,196 кКал,196 кКал,196 кКал
"Ребра, баранина, Новая Зеландия, замороженная, только мясо, сырая",160 кКал,160 кКал,160 кКал,160 кКал
Рубец бараний,82 кКал,82 кКал,82 кКал,82 кКал
"Рулька, баранина, мясо и жир, обрезь до 1/4"" жира, отборная, сырая",201 кКал,201 кКал,201 кКал,201 кКал
"Рулька, баранина, мясо и жир, обрезь до 1/4"" жира, отборная, тушеная",243 кКал,243 кКал,243 кКал,243 кКал
"Рулька, баранина, Новая Зеландия, замороженная, мясо и жир, обрезь до 1/8"" жира, сырая",223 кКал,223 кКал,223 кКал,223 кКал
"Рулька, баранина, Новая Зеландия, замороженная, мясо и жир, обрезь до 1/8"" жира, тушеная",258 кКал,258 кКал,258 кКал,258 кКал
"Рулька, баранина, Новая Зеландия, замороженная, мясо и жир, сырая",183 кКал,183 кКал,183 кКал,183 кКал
"Рулька, баранина, Новая Зеландия, замороженная, мясо и жир, тушеная",258 кКал,258 кКал,258 кКал,258 кКал
"Рулька, баранина, Новая Зеландия, замороженная, только мясо, сырая",122 кКал,122 кКал,122 кКал,122 кКал
"Рулька, баранина, Новая Зеландия, замороженная, только мясо, тушеная",209 кКал,209 кКал,209 кКал,209 кКал
Селезенка баранья,101 кКал,101 кКал,101 кКал,101 кКал
"Селезенка баранья, тушеная",156 кКал,156 кКал,156 кКал,156 кКал
Сердце баранье,86 кКал,86 кКал,86 кКал,86 кКал
Сердце баранье,122 кКал,122 кКал,122 кКал,122 кКал
"Сердце баранье, тушеное",185 кКал,185 кКал,185 кКал,185 кКал
Фарш из баранины,282 кКал,282 кКал,282 кКал,282 кКал
"Фарш из баранины, жаренный на открытом огне",283 кКал,283 кКал,283 кКал,283 кКал
Фарш из мяса белки (Аляска),111 кКал,111 кКал,111 кКал,111 кКал
Фарш из мяса бизона,223 кКал,223 кКал,223 кКал,223 кКал
"Фарш из мяса бизона, жаренный на сковороде",238 кКал,238 кКал,238 кКал,238 кКал
Фарш из мяса зубра пастбищного,146 кКал,146 кКал,146 кКал,146 кКал
"Фарш из мяса зубра пастбищного, приготовленный",179 кКал,179 кКал,179 кКал,179 кКал
Фарш из мяса лося,172 кКал,172 кКал,172 кКал,172 кКал
"Фарш из мяса лося, жаренный на сковороде",193 кКал,193 кКал,193 кКал,193 кКал
Фарш из мяса оленя (лани),157 кКал,157 кКал,157 кКал,157 кКал
"Фарш из мяса оленя (лани), жаренный на сковороде",187 кКал,187 кКал,187 кКал,187 кКал
"Шницель отбивной из баранины, по 1-416",333 кКал,333 кКал,333 кКал,333 кКал
Ягнятина,196 кКал,196 кКал,196 кКал,196 кКал
"Ягнятина, лопаточная часть",259 кКал,259 кКал,259 кКал,259 кКал
"Ягнятина, лопаточная часть жаренная на открытом огне",278 кКал,278 кКал,278 кКал,278 кКал
"Ягнятина, лопаточная часть только мясо",151 кКал,151 кКал,151 кКал,151 кКал
"Ягнятина, лопаточная часть только мясо, жаренная на открытом огне",211 кКал,211 кКал,211 кКал,211 кКал
