Продукт,Калорийность,Белки,Жиры,Углеводы
Персик,39 кКал,39 кКал,39 кКал,39 кКал
Персик сушеный,254 кКал,254 кКал,254 кКал,254 кКал
"Персики ломтиками, замороженные, подслащенные",94 кКал,94 кКал,94 кКал,94 кКал
Персики сушеные,239 кКал,239 кКал,239 кКал,239 кКал
Персики сушеные (дегидрированные),325 кКал,325 кКал,325 кКал,325 кКал
"Персики сушеные (дегидрированные), тушеные",133 кКал,133 кКал,133 кКал,133 кКал
"Персики сушеные, тушеные без сахара",77 кКал,77 кКал,77 кКал,77 кКал
"Персики сушеные, тушеные с сахаром",103 кКал,103 кКал,103 кКал,103 кКал
"Персики, консервированные в водной заливке",24 кКал,24 кКал,24 кКал,24 кКал
"Персики, консервированные в легком сиропе",54 кКал,54 кКал,54 кКал,54 кКал
"Персики, консервированные в насыщенном сиропе",74 кКал,74 кКал,74 кКал,74 кКал
"Персики, консервированные в насыщенном сиропе, приправленные",75 кКал,75 кКал,75 кКал,75 кКал
"Персики, консервированные в насыщенном сиропе, сухой продукт",72 кКал,72 кКал,72 кКал,72 кКал
"Персики, консервированные в собственном соку",44 кКал,44 кКал,44 кКал,44 кКал
"Персики, консервированные в экстра-легком сиропе",42 кКал,42 кКал,42 кКал,42 кКал
"Персики, консервированные в экстра-насыщенном сиропе",96 кКал,96 кКал,96 кКал,96 кКал
Персиковый компот. Консервы,88 кКал,88 кКал,88 кКал,88 кКал
"Питанга (суринамская вишня), сырая",33 кКал,33 кКал,33 кКал,33 кКал
"Плантан (овощной банан) жёлтый, жареный, латинский ресторан",236 кКал,236 кКал,236 кКал,236 кКал
"Плантан (овощной банан) жёлтый, приготовленный",155 кКал,155 кКал,155 кКал,155 кКал
"Плантан (овощной банан) жёлтый, сырой",122 кКал,122 кКал,122 кКал,122 кКал
Плантан (овощной банан) зелёный жареный,309 кКал,309 кКал,309 кКал,309 кКал
"Плантан (овощной банан) зелёный, вареный",121 кКал,121 кКал,121 кКал,121 кКал
"Плантан (овощной банан) зелёный, сырой",152 кКал,152 кКал,152 кКал,152 кКал
"Плоды хлебного дерева, сырые",103 кКал,103 кКал,103 кКал,103 кКал
Помело,38 кКал,38 кКал,38 кКал,38 кКал
Порошок из плодов баобаба,250 кКал,250 кКал,250 кКал,250 кКал
"Рамбутан, консервированный в сахарном сиропе",82 кКал,82 кКал,82 кКал,82 кКал
Ревень,21 кКал,21 кКал,21 кКал,21 кКал
"Ревень, замороженный, неприготовленный",21 кКал,21 кКал,21 кКал,21 кКал
"Ревень, замороженный, приготовленный с сахаром",116 кКал,116 кКал,116 кКал,116 кКал
"Розелла, сырая",49 кКал,49 кКал,49 кКал,49 кКал
Рябина садовая красная,50 кКал,50 кКал,50 кКал,50 кКал
Рябина черноплодная,55 кКал,55 кКал,55 кКал,55 кКал
"Саподилла, сырая",83 кКал,83 кКал,83 кКал,83 кКал
"Сапота (мармеладный плод), сырая",124 кКал,124 кКал,124 кКал,124 кКал
Саусеп (сметанное яблоко) сырой,66 кКал,66 кКал,66 кКал,66 кКал
"Сахарные яблоки (анона), сырые",94 кКал,94 кКал,94 кКал,94 кКал
Слива,46 кКал,46 кКал,46 кКал,46 кКал
Слива (садовая),49 кКал,49 кКал,49 кКал,49 кКал
"Слива вишненосная, алыча",34 кКал,34 кКал,34 кКал,34 кКал
"Слива дикая, северо-американская",91 кКал,91 кКал,91 кКал,91 кКал
Слива Мирабель (желтая слива),40 кКал,40 кКал,40 кКал,40 кКал
"Слива синяя, консервированная в водной заливке",41 кКал,41 кКал,41 кКал,41 кКал
"Слива синяя, консервированная в легком сахарном сиропе",63 кКал,63 кКал,63 кКал,63 кКал
"Слива синяя, консервированная в насыщенном сахарном сиропе",89 кКал,89 кКал,89 кКал,89 кКал
"Слива синяя, консервированная в собственном соку",58 кКал,58 кКал,58 кКал,58 кКал
"Слива синяя, консервированная в экстра-насыщенном сахарном сиропе",101 кКал,101 кКал,101 кКал,101 кКал
"Сливы, консервированные в насыщенном сиропе, сухой продукт",89 кКал,89 кКал,89 кКал,89 кКал
Смородина белая,42 кКал,42 кКал,42 кКал,42 кКал
Смородина красная,43 кКал,43 кКал,43 кКал,43 кКал
Смородина черная,44 кКал,44 кКал,44 кКал,44 кКал
"Смородина черная, европейская",63 кКал,63 кКал,63 кКал,63 кКал
