Продукт,Калорийность,Белки,Жиры,Углеводы
"Маргарин в смеси со сливочным маслом, 80% жира, на основе соевого масла",727 кКал,727 кКал,727 кКал,727 кКал
Маргарин молочный столовый,743 кКал,743 кКал,743 кКал,743 кКал
Маргарин низкокалорийный 60% жирности,545 кКал,545 кКал,545 кКал,545 кКал
Маргарин сливочный,743 кКал,743 кКал,743 кКал,743 кКал
Маргарин шоколадный сливочный,641 кКал,641 кКал,641 кКал,641 кКал
"Маргарин, ""Soft Spread"" компании CANOLA HARVEST (включая рапсовое, пальмовое масла и масло из пальмовых зерен), 80% жира, в пластиковой коробке",730 кКал,730 кКал,730 кКал,730 кКал
"Маргарин, 80% жира, без соли, в пачке",717 кКал,717 кКал,717 кКал,717 кКал
"Маргарин, 80% жира, без соли, в пластиковой коробке",713 кКал,713 кКал,713 кКал,713 кКал
"Маргарин, 80% жира, без соли, с витамином D",717 кКал,717 кКал,717 кКал,717 кКал
"Маргарин, 80% жира, на основе кукурузного и соевого масел",717 кКал,717 кКал,717 кКал,717 кКал
"Маргарин, 80% жира, с солью, в пачке",717 кКал,717 кКал,717 кКал,717 кКал
"Маргарин, 80% жира, с солью, в пластиковой коробке",713 кКал,713 кКал,713 кКал,713 кКал
"Маргарин, 80% жира, с солью, с витамином D, в пачке",717 кКал,717 кКал,717 кКал,717 кКал
"Маргарин, 80% жира, с солью, с витамином D, в пластиковой коробке",713 кКал,713 кКал,713 кКал,713 кКал
"Маргарин, 80% жира, соевый",719 кКал,719 кКал,719 кКал,719 кКал
"Маргариновый спред, 40-49% жира",401 кКал,401 кКал,401 кКал,401 кКал
Масло авокадо,884 кКал,884 кКал,884 кКал,884 кКал
Масло грецкого ореха,884 кКал,884 кКал,884 кКал,884 кКал
Масло из абрикосовых косточек,"899,1 кКал","899,1 кКал","899,1 кКал","899,1 кКал"
Масло из абрикосовых косточек,884 кКал,884 кКал,884 кКал,884 кКал
Масло из бразильского ореха бабассу,884 кКал,884 кКал,884 кКал,884 кКал
Масло из виноградных косточек,884 кКал,884 кКал,884 кКал,884 кКал
Масло из ореха ши,884 кКал,884 кКал,884 кКал,884 кКал
Масло из рисовых отрубей,884 кКал,884 кКал,884 кКал,884 кКал
Масло из ростков пшеницы,884 кКал,884 кКал,884 кКал,884 кКал
Масло из семян томатов,884 кКал,884 кКал,884 кКал,884 кКал
Масло из семян чайного дерева,884 кКал,884 кКал,884 кКал,884 кКал
Масло из сливовых косточек,"899,1 кКал","899,1 кКал","899,1 кКал","899,1 кКал"
Масло из фундука,884 кКал,884 кКал,884 кКал,884 кКал
Масло какао,884 кКал,884 кКал,884 кКал,884 кКал
Масло какао,899 кКал,899 кКал,899 кКал,899 кКал
Масло какаовелла,898 кКал,898 кКал,898 кКал,898 кКал
Масло канола,899 кКал,899 кКал,899 кКал,899 кКал
Масло канола (распсовое),884 кКал,884 кКал,884 кКал,884 кКал
"Масло канола (распсовое) высокоолеиновое (70%), стойкое к окислению",884 кКал,884 кКал,884 кКал,884 кКал
"Масло канола (распсовое) высокоолеиновое, промышленное",900 кКал,900 кКал,900 кКал,900 кКал
"Масло канола (распсовое) частично гидрогенизированное, промышленное, для глубокой жарки",884 кКал,884 кКал,884 кКал,884 кКал
"Масло канола (распсовое), промышленное, для салатов, вока и легкой обжарки,  покупное",884 кКал,884 кКал,884 кКал,884 кКал
"Масло канола (распсовое), промышленное, не пенящееся",884 кКал,884 кКал,884 кКал,884 кКал
"Масло компании ""ENOVA"", для готовки и салатов, 80% диглициридов",884 кКал,884 кКал,884 кКал,884 кКал
Масло купу ассу,884 кКал,884 кКал,884 кКал,884 кКал
Масло мускатного ореха,884 кКал,884 кКал,884 кКал,884 кКал
Масло пловное,0 кКал,0 кКал,0 кКал,0 кКал
"Масло растительное, с низким содержанием жирных кислот",884 кКал,884 кКал,884 кКал,884 кКал
Масло укухуба,884 кКал,884 кКал,884 кКал,884 кКал
"Масло, кулинарный спрей PAM, оригинальное",792 кКал,792 кКал,792 кКал,792 кКал
Миндальное масло,884 кКал,884 кКал,884 кКал,884 кКал
Миндальное масло рафинированное,884 кКал,884 кКал,884 кКал,884 кКал
"Мясной сок (смалец, говяжий и бараний жир)",889 кКал,889 кКал,889 кКал,889 кКал
Овсяное масло,884 кКал,884 кКал,884 кКал,884 кКал
Оливковое масло,898 кКал,898 кКал,898 кКал,898 кКал
Оливковое масло для заправки салатов или готовки,884 кКал,884 кКал,884 кКал,884 кКал
"Пальмовое и пальмоядровое масло негидрогенизированное, для пищевой промышленности, жир-наполнитель",880 кКал,880 кКал,880 кКал,880 кКал
Пальмовое масло,899 кКал,899 кКал,899 кКал,899 кКал
Пальмовое масло (из плодов масличной пальмы),884 кКал,884 кКал,884 кКал,884 кКал
Пальмоядровое масло (из семян масличной пальмы),862 кКал,862 кКал,862 кКал,862 кКал
"Пальмоядровое масло гидрогенизированное, для пищевой промышленности, для изготовления взбитых кремов",884 кКал,884 кКал,884 кКал,884 кКал
"Пальмоядровое масло гидрогенизированное, для пищевой промышленности, жир-наполнитель",884 кКал,884 кКал,884 кКал,884 кКал
"Пальмоядровое масло гидрогенизированное, для пищевой промышленности, кондитерский жир, используется аналогично высококачественному какао-маслу",884 кКал,884 кКал,884 кКал,884 кКал
"Пальмоядровое масло гидрогенизированное, для пищевой промышленности, кондитерский жир, используется аналогично сливочному маслу 95% жирности",884 кКал,884 кКал,884 кКал,884 кКал
"Пальмоядровое масло гидрогенизированное, для пищевой промышленности, кондитерский жир, продукт промежуточной переработки",884 кКал,884 кКал,884 кКал,884 кКал
Персиковое масло,"899,1 кКал","899,1 кКал","899,1 кКал","899,1 кКал"
Подсолнечное масло,899 кКал,899 кКал,899 кКал,899 кКал
Подсолнечное масло высокоолеиновое (70% и более),884 кКал,884 кКал,884 кКал,884 кКал
Подсолнечное масло линолевое (менее 60%),884 кКал,884 кКал,884 кКал,884 кКал
Подсолнечное масло линолевое (приблизительно 65%),884 кКал,884 кКал,884 кКал,884 кКал
Подсолнечное масло линолевое (частично гидрогенизированное),884 кКал,884 кКал,884 кКал,884 кКал
"Подсолнечное масло, среднеоленовое, для жарки и заправки салатов, для пищевой промышленности",884 кКал,884 кКал,884 кКал,884 кКал
Рапсовое масло,899 кКал,899 кКал,899 кКал,899 кКал
Рыбий жир из печени трески,902 кКал,902 кКал,902 кКал,902 кКал
Рыбий жир из печени трески,898 кКал,898 кКал,898 кКал,898 кКал
Рыбий жир лососевый,902 кКал,902 кКал,902 кКал,902 кКал
"Рыбий жир, менхаден",902 кКал,902 кКал,902 кКал,902 кКал
"Рыбий жир, менхаден, полностью гидрогенизированный",902 кКал,902 кКал,902 кКал,902 кКал
"Рыбий жир, сардинный",902 кКал,902 кКал,902 кКал,902 кКал
"Рыбий жир, сельдевый",902 кКал,902 кКал,902 кКал,902 кКал
"Сало (шпик свиной, без шкурки)",841 кКал,841 кКал,841 кКал,841 кКал
Сало баранье,902 кКал,902 кКал,902 кКал,902 кКал
"Сало соленое (шпик свиной, без шкурки)",816 кКал,816 кКал,816 кКал,816 кКал
"Сафлоровое масло высокоолеиновое, более 70%",884 кКал,884 кКал,884 кКал,884 кКал
Сафлоровое масло линолевое (более 70%),884 кКал,884 кКал,884 кКал,884 кКал
"Соевое (частично гидрогенизированное) и хлопковое масла, смесь",884 кКал,884 кКал,884 кКал,884 кКал
Соевое масло,899 кКал,899 кКал,899 кКал,899 кКал
"Соевое масло (частично гидрогенизированное и вымороженное), для пищевой промышленности, для чистой жарки",884 кКал,884 кКал,884 кКал,884 кКал
"Соевое масло (частично гидрогенизированное) и пальмовое, для пищевой промышленности, для изготовления глазури и наполнителей",884 кКал,884 кКал,884 кКал,884 кКал
"Соевое масло (частично гидрогенизированное) и хлопковое, для пищевой промышленности, для тортильи",884 кКал,884 кКал,884 кКал,884 кКал
"Соевое масло (частично гидрогенизированное),  для пищевой промышленности, для приготовления попкорна и приправленных овощей",884 кКал,884 кКал,884 кКал,884 кКал
"Соевое масло (частично гидрогенизированное), для пищевой промышленности",884 кКал,884 кКал,884 кКал,884 кКал
"Соевое масло (частично гидрогенизированное), для пищевой промышленности, со вкусом сливочного  масла",884 кКал,884 кКал,884 кКал,884 кКал
"Соевое масло гидрогенезированное, для пищевой промышленности",884 кКал,884 кКал,884 кКал,884 кКал
Соевое масло для заправки салатов или готовки,884 кКал,884 кКал,884 кКал,884 кКал
Соевое масло для заправки салатов или готовки (частично гидрогенизированное),884 кКал,884 кКал,884 кКал,884 кКал
"Соевое масло низколинолевое, для пищевой промышленности",900 кКал,900 кКал,900 кКал,900 кКал
Соевое масло рафинированное,884 кКал,884 кКал,884 кКал,884 кКал
"Соевое масло рафинированное, для пищевой промышленности, для вока и легкой обжарки",884 кКал,884 кКал,884 кКал,884 кКал
"Соевое масло, ультра низколинолевое, для пищевой промышленности",884 кКал,884 кКал,884 кКал,884 кКал
Соевый лецитин,763 кКал,763 кКал,763 кКал,763 кКал
"Спред на основе растительного масла, 53% жирности, низкокалорийный",465 кКал,465 кКал,465 кКал,465 кКал
Хлопковое масло,884 кКал,884 кКал,884 кКал,884 кКал
Хлопковое масло,"899,1 кКал","899,1 кКал","899,1 кКал","899,1 кКал"
"Хлопковое масло полностью гидрогенезированное, для пищевой промышленности",884 кКал,884 кКал,884 кКал,884 кКал
