Продукт,Калорийность,Белки,Жиры,Углеводы
"Говядина отборная, ребра, толстый и тонкий края (ребра 6-12), мясо с жиром убранным до уровня1/8"", обжаренная",365 кКал,365 кКал,365 кКал,365 кКал
"Говядина отборная, ребра, толстый и тонкий края (ребра 6-12), мясо с жиром убранным до уровня1/8"", сырая",322 кКал,322 кКал,322 кКал,322 кКал
"Говядина отборная, ребра, толстый край (ребра 6-9), мясо с жиром убранным до уровня1/8"", жареная",370 кКал,370 кКал,370 кКал,370 кКал
"Говядина отборная, ребра, толстый край (ребра 6-9), мясо с жиром убранным до уровня1/8"", обжаренная",378 кКал,378 кКал,378 кКал,378 кКал
"Говядина отборная, ребра, толстый край (ребра 6-9), мясо с жиром убранным до уровня1/8"", сырая",333 кКал,333 кКал,333 кКал,333 кКал
"Говядина отборная, ребра, тонкий край (ребра 10-12), мясо с жиром убранным до уровня1/8"", жареная",304 кКал,304 кКал,304 кКал,304 кКал
"Говядина отборная, ребра, тонкий край (ребра 10-12), мясо с жиром убранным до уровня1/8"", обжаренная",359 кКал,359 кКал,359 кКал,359 кКал
"Говядина отборная, ребра, тонкий край (ребра 10-12), мясо с жиром убранным до уровня1/8"", сырая",263 кКал,263 кКал,263 кКал,263 кКал
"Говядина отборная, средняя часть кострца, стейк, мясо с жиром убранным до уровня 0"", обжаренная на гриле",188 кКал,188 кКал,188 кКал,188 кКал
"Говядина отборная, средняя часть кострца, стейк, мясо с жиром убранным до уровня 0"", сырая",150 кКал,150 кКал,150 кКал,150 кКал
"Говядина отборная, стейк из плечевой мякоти, постное мясо, жареная",161 кКал,161 кКал,161 кКал,161 кКал
"Говядина отборная, стейк из плечевой мякоти, постное мясо, жаренная",161 кКал,161 кКал,161 кКал,161 кКал
"Говядина отборная, стейк-портерхаус,  мясо с жиром убранным до уровня 0"", жареная",283 кКал,283 кКал,283 кКал,283 кКал
"Говядина отборная, стейк-портерхаус, постное мясо, жареная",224 кКал,224 кКал,224 кКал,224 кКал
"Говядина отборная, цельное бедро, мясо с жиром убранным до уровня1/8"", жареная",235 кКал,235 кКал,235 кКал,235 кКал
"Говядина отборная, цельное бедро, мясо с жиром убранным до уровня1/8"", сырая",195 кКал,195 кКал,195 кКал,195 кКал
"Говядина отборная, щуп, мясо с жиром убранным до уровня 0"", обжаренная",171 кКал,171 кКал,171 кКал,171 кКал
"Говядина отборная, щуп, мясо с жиром убранным до уровня 1/8"", обжаренная",212 кКал,212 кКал,212 кКал,212 кКал
"Говядина отборная, щуп, мясо с жиром убранным до уровня 1/8"", сырая",173 кКал,173 кКал,173 кКал,173 кКал
"Говядина отборная, щуп, постное мясо, обжаренная",166 кКал,166 кКал,166 кКал,166 кКал
"Говядина отборная,стейк-портерхаус, мясо с жиром убранным до уровня 1/8"", жареная",284 кКал,284 кКал,284 кКал,284 кКал
"Говядина отборная,стейк-портерхаус, мясо с жиром убранным до уровня 1/8"", сырая",218 кКал,218 кКал,218 кКал,218 кКал
"Говядина отборной категории, плоская часть грудинки, мясо с жиром убранным до уровня 1/8"", тушеная",280 кКал,280 кКал,280 кКал,280 кКал
"Говядина отборной категории, плоская чатсь грудинки,  мясо с жиром убранным до уровня 0"", тушеное",221 кКал,221 кКал,221 кКал,221 кКал
"Говядина отборной категории, плоская чатсь грудинки, мясо постоное, тошеное",212 кКал,212 кКал,212 кКал,212 кКал
"Говядина отборной категории, ребра, рёберный край грудинки, мясо постное,  тушеное",295 кКал,295 кКал,295 кКал,295 кКал
"Говядина отборной категории, ребра, рёберный край грудинки, мясо постное, сырое",175 кКал,175 кКал,175 кКал,175 кКал
"Говядина отборной категории, ребра, рёберный край грудинки, мясо с жиром,  сырое",390 кКал,390 кКал,390 кКал,390 кКал
"Говядина отборной категории, ребра, рёберный край грудинки, мясо с жиром, тушеное",471 кКал,471 кКал,471 кКал,471 кКал
"Говядина отборной категории, тушка, мясо вместе с жиром, сырая",291 кКал,291 кКал,291 кКал,291 кКал
"Говядина отборной категории, тушка, мясо вместе с жиром, сырая",278 кКал,278 кКал,278 кКал,278 кКал
"Говядина отборной категории, часть спины с ребер, тонкий край (ребра 10-12),  мясо постное, жареное",205 кКал,205 кКал,205 кКал,205 кКал
"Говядина отборной категории, часть спины с ребер, тонкий край (ребра 10-12), мясо постное, сырое",161 кКал,161 кКал,161 кКал,161 кКал
"Говядина отварная в собственном соку, консервы",214 кКал,214 кКал,214 кКал,214 кКал
"Говядина отварная, по 1-392",254 кКал,254 кКал,254 кКал,254 кКал
"Говядина сортовая категорий, огузок, мясо с жиром убранным до уровня 0"", обжаренная",181 кКал,181 кКал,181 кКал,181 кКал
"Говядина сортовая,  t-bone стейк,  мясо с жиром убранным до уровня 1/8"", жареная",281 кКал,281 кКал,281 кКал,281 кКал
"Говядина сортовая,  t-bone стейк,  мясо с жиром убранным до уровня 1/8"", сырая",215 кКал,215 кКал,215 кКал,215 кКал
"Говядина сортовая,  t-bone стейк,  постное мясо, жареная",177 кКал,177 кКал,177 кКал,177 кКал
"Говядина сортовая,  t-bone стейк, мясо с жиром убранным до уровня 0"", жареная",230 кКал,230 кКал,230 кКал,230 кКал
"Говядина сортовая,  мякоть нижней части бедра, мясо с жиром убранным до уровня1/8"", сырая",187 кКал,187 кКал,187 кКал,187 кКал
"Говядина сортовая,  мякоть нижней части бедра, мясо с жиром убранным до уровня1/8"", сырая обжпренная",212 кКал,212 кКал,212 кКал,212 кКал
"Говядина сортовая,  мякоть нижней части бедра, мясо с жиром убранным до уровня1/8"", тушеная",240 кКал,240 кКал,240 кКал,240 кКал
"Говядина сортовая,  мякоть нижней части бедра, постоное мясо, обжаренная",164 кКал,164 кКал,164 кКал,164 кКал
"Говядина сортовая,  мякоть нижней части бедра, постоное мясо, тушеная",205 кКал,205 кКал,205 кКал,205 кКал
"Говядина сортовая,  оковалок, постное мясо, сырая",127 кКал,127 кКал,127 кКал,127 кКал
"Говядина сортовая, бочок,  мясо с жиром убранным до уровня 0"", сырая",145 кКал,145 кКал,145 кКал,145 кКал
"Говядина сортовая, бочок, мясо с жиром убранным до уровня 0"", жаренная",183 кКал,183 кКал,183 кКал,183 кКал
"Говядина сортовая, бочок, постное мясо, жареная",178 кКал,178 кКал,178 кКал,178 кКал
"Говядина сортовая, бочок, постное мясо, сырая",137 кКал,137 кКал,137 кКал,137 кКал
"Говядина сортовая, верхняя часть кострца, стейк, мясо с жиром убранным до уровня 0"", обжаренная на гриле",160 кКал,160 кКал,160 кКал,160 кКал
"Говядина сортовая, верхняя часть кострца, стейк, мясо с жиром убранным до уровня 0"", сырая",123 кКал,123 кКал,123 кКал,123 кКал
"Говядина сортовая, верхняя часть лопатки,  мясо с жиром убранным до уровня 0"", жаренная",184 кКал,184 кКал,184 кКал,184 кКал
"Говядина сортовая, верхняя часть лопатки, мясо с жиром убранным до уровня 0"", жареная",200 кКал,200 кКал,200 кКал,200 кКал
"Говядина сортовая, верхняя часть лопатки, стейк,  мясо с жиром убранным до уровня 0"", обжаренная на гриле",212 кКал,212 кКал,212 кКал,212 кКал
"Говядина сортовая, верхняя часть лопатки, стейк,  мясо с жиром убранным до уровня 0"", сырая",166 кКал,166 кКал,166 кКал,166 кКал
"Говядина сортовая, вырезка, мясо с жиром убранным до уровня 0"", жареная",202 кКал,202 кКал,202 кКал,202 кКал
"Говядина сортовая, вырезка, мясо с жиром убранным до уровня 1/8"", жареная",262 кКал,262 кКал,262 кКал,262 кКал
"Говядина сортовая, вырезка, мясо с жиром убранным до уровня 1/8"", обжаренная",316 кКал,316 кКал,316 кКал,316 кКал
"Говядина сортовая, вырезка, мясо с жиром убранным до уровня 1/8"", сырая",249 кКал,249 кКал,249 кКал,249 кКал
"Говядина сортовая, вырезка, постное мясо, жареная",194 кКал,194 кКал,194 кКал,194 кКал
"Говядина сортовая, вырезка, постное мясо, жареная",198 кКал,198 кКал,198 кКал,198 кКал
"Говядина сортовая, вырезка, постное мясо, сырая",148 кКал,148 кКал,148 кКал,148 кКал
"Говядина сортовая, короткий филей, мясо с жиром убранным до уровня 0"", жареная",207 кКал,207 кКал,207 кКал,207 кКал
"Говядина сортовая, короткий филей, мясо с жиром убранным до уровня 1/8"", жареная",250 кКал,250 кКал,250 кКал,250 кКал
"Говядина сортовая, короткий филей, мясо с жиром убранным до уровня 1/8"", сырая",224 кКал,224 кКал,224 кКал,224 кКал
"Говядина сортовая, короткий филей, постное мясо, жареная",189 кКал,189 кКал,189 кКал,189 кКал
