Продукт,Калорийность,Белки,Жиры,Углеводы
"Кишки свиные, варёные на медленном огне",233 кКал,233 кКал,233 кКал,233 кКал
"Колбасный фарш ветчиннорубленный, консервы",234 кКал,234 кКал,234 кКал,234 кКал
"Колбасный фарш любительский, консервы",313 кКал,313 кКал,313 кКал,313 кКал
"Колбасный фарш отдельный, консервы",279 кКал,279 кКал,279 кКал,279 кКал
"Котлеты из свинины рубленые, по 1-440",466 кКал,466 кКал,466 кКал,466 кКал
"Котлеты отбивные из свинины, по 1-414",470 кКал,470 кКал,470 кКал,470 кКал
"Кровь свиная, сухая",335 кКал,335 кКал,335 кКал,335 кКал
Лёгкое свиное,85 кКал,85 кКал,85 кКал,85 кКал
Легкое свиное,92 кКал,92 кКал,92 кКал,92 кКал
"Лёгкое свиное, тушеное",99 кКал,99 кКал,99 кКал,99 кКал
Мозги свиные,127 кКал,127 кКал,127 кКал,127 кКал
Мозги свиные,119 кКал,119 кКал,119 кКал,119 кКал
"Мозги свиные, тушеные",138 кКал,138 кКал,138 кКал,138 кКал
"Мясо в белом соусе, консервы",202 кКал,202 кКал,202 кКал,202 кКал
Ноги (копытца) свиные,212 кКал,212 кКал,212 кКал,212 кКал
"Ноги (копытца) свиные, варёные на медленном огне",238 кКал,238 кКал,238 кКал,238 кКал
Ноги свиные,234 кКал,234 кКал,234 кКал,234 кКал
"Пельмени жареные, по 2-170",303 кКал,303 кКал,303 кКал,303 кКал
"Пельмени отварные, по 2-170",219 кКал,219 кКал,219 кКал,219 кКал
Печень свиная,109 кКал,109 кКал,109 кКал,109 кКал
Печень свиная,134 кКал,134 кКал,134 кКал,134 кКал
"Печень свиная, тушеная",165 кКал,165 кКал,165 кКал,165 кКал
"Пирожки печеные с мясным фаршем и луком, по 2-188",245 кКал,245 кКал,245 кКал,245 кКал
"Поджарка из свинины, по 1-406",524 кКал,524 кКал,524 кКал,524 кКал
Поджелудочная железа свиная,199 кКал,199 кКал,199 кКал,199 кКал
"Поджелудочная железа свиная, тушеная",219 кКал,219 кКал,219 кКал,219 кКал
"Поросенок жареный, по 1-400",147 кКал,147 кКал,147 кКал,147 кКал
Поросятина,109 кКал,109 кКал,109 кКал,109 кКал
Почки свиные,100 кКал,100 кКал,100 кКал,100 кКал
Почки свиные,92 кКал,92 кКал,92 кКал,92 кКал
"Почки свиные, тушеная",151 кКал,151 кКал,151 кКал,151 кКал
"Расстегаи с мясом и луком, по 2-194",254 кКал,254 кКал,254 кКал,254 кКал
Сало свиное с живота сырое,857 кКал,857 кКал,857 кКал,857 кКал
"Свинина ""по-восточному"", сушеная (дегидрированная)",615 кКал,615 кКал,615 кКал,615 кКал
Свинина беконная,318 кКал,318 кКал,318 кКал,318 кКал
"Свинина жареная, по 1-396",314 кКал,314 кКал,314 кКал,314 кКал
