Продукт,Калорийность,Белки,Жиры,Углеводы
Соевая вермишель,331 кКал,331 кКал,331 кКал,331 кКал
Соевая мука необезжиренная,385 кКал,385 кКал,385 кКал,385 кКал
Соевая мука обезжиренная,291 кКал,291 кКал,291 кКал,291 кКал
Соевая мука полуобезжиренная,334 кКал,334 кКал,334 кКал,334 кКал
"Соевая мука, необезжиренная, поджаренная",439 кКал,439 кКал,439 кКал,439 кКал
"Соевая мука, необезжиренная, сырая",434 кКал,434 кКал,434 кКал,434 кКал
"Соевая мука, низкожирная",372 кКал,372 кКал,372 кКал,372 кКал
"Соевая мука, обезжиренная",327 кКал,327 кКал,327 кКал,327 кКал
"Соевое молоко, маложирное, с доб. кальция, витаминов A и D",43 кКал,43 кКал,43 кКал,43 кКал
"Соевое молоко, натуральное и ванильное, легкое, неподслащенное, с доб. кальция, витаминов A и D",34 кКал,34 кКал,34 кКал,34 кКал
"Соевое молоко, натуральное и ванильное, легкое, с доб. кальция, витаминов A и D",30 кКал,30 кКал,30 кКал,30 кКал
"Соевое молоко, натуральное и ванильное, необогащенное",54 кКал,54 кКал,54 кКал,54 кКал
"Соевое молоко, натуральное и ванильное, с доб. кальция, витаминов A и D",43 кКал,43 кКал,43 кКал,43 кКал
"Соевое молоко, неподслащенное, с доб. кальция, витаминов A и D",33 кКал,33 кКал,33 кКал,33 кКал
"Соевое молоко, обезжиренное, с доб. кальция, витаминов A и D",28 кКал,28 кКал,28 кКал,28 кКал
"Соевое молоко, обогащенное (витаминами А, С. Е, D, B1, В6, РР, калием, кальцием)",45 кКал,45 кКал,45 кКал,45 кКал
"Соевое молоко, шоколадное и другие вкусы, легкое, с доб. кальция, витаминов A и D",47 кКал,47 кКал,47 кКал,47 кКал
"Соевое молоко, шоколадное, необогащенное",63 кКал,63 кКал,63 кКал,63 кКал
"Соевое молоко, шоколадное, обезжиренное, с доб. кальция, витаминов A и D",44 кКал,44 кКал,44 кКал,44 кКал
"Соевое молоко, шоколадное, с доб. кальция, витаминов A и D",63 кКал,63 кКал,63 кКал,63 кКал
"Соевые бобы, зеленые",147 кКал,147 кКал,147 кКал,147 кКал
"Соевые бобы, зеленые, вареные, без соли",141 кКал,141 кКал,141 кКал,141 кКал
"Соевые бобы, зеленые, вареные, с солью",141 кКал,141 кКал,141 кКал,141 кКал
"Соевые бобы, зрелые",446 кКал,446 кКал,446 кКал,446 кКал
"Соевые бобы, зрелые, вареные, без доб. соли",172 кКал,172 кКал,172 кКал,172 кКал
"Соевые бобы, зрелые, вареные, с доб. соли",172 кКал,172 кКал,172 кКал,172 кКал
"Соевые бобы, зрелые, поджаренные без масла",449 кКал,449 кКал,449 кКал,449 кКал
"Соевые бобы, зрелые, поджаренные, без доб. соли",469 кКал,469 кКал,469 кКал,469 кКал
"Соевые бобы, зрелые, поджаренные, с доб. соли",469 кКал,469 кКал,469 кКал,469 кКал
"Соевые бобы, спелые проросшие семена, жаренные",125 кКал,125 кКал,125 кКал,125 кКал
"Соевые бобы, спелые проросшие семена, жаренные, с солью",125 кКал,125 кКал,125 кКал,125 кКал
"Соевые бобы, спелые проросшие семена, приготовленные на пару",81 кКал,81 кКал,81 кКал,81 кКал
"Соевые бобы, спелые проросшие семена, приготовленные на пару, с солью",81 кКал,81 кКал,81 кКал,81 кКал
"Соевые бобы, спелые проросшие семена, сырые",122 кКал,122 кКал,122 кКал,122 кКал
"Соевый жмых, обезжиренный",337 кКал,337 кКал,337 кКал,337 кКал
Соевый протеиновый изолят,335 кКал,335 кКал,335 кКал,335 кКал
"Соевый протеиновый концентрат, технология спиртовой экстракции",328 кКал,328 кКал,328 кКал,328 кКал
Соевый творог,151 кКал,151 кКал,151 кКал,151 кКал
"Соя, зерно",364 кКал,364 кКал,364 кКал,364 кКал
Спаржевая фасоль вигна,47 кКал,47 кКал,47 кКал,47 кКал
"Спаржевая фасоль вигна, вареная, без соли",47 кКал,47 кКал,47 кКал,47 кКал
"Спаржевая фасоль вигна, вареная, с солью",47 кКал,47 кКал,47 кКал,47 кКал
"Спаржевая фасоль вигна, зрелые семена",347 кКал,347 кКал,347 кКал,347 кКал
"Спаржевая фасоль вигна, зрелые семена, вареная с солью",118 кКал,118 кКал,118 кКал,118 кКал
"Спаржевая фасоль вигна, зрелые семена, вареная, без соли",118 кКал,118 кКал,118 кКал,118 кКал
"Спред для сэндвичей, из заменителя мяса",149 кКал,149 кКал,149 кКал,149 кКал
"Суккоташ (смесь кукурузы и лимской фасоли), вареная, без соли",115 кКал,115 кКал,115 кКал,115 кКал
"Суккоташ (смесь кукурузы и лимской фасоли), вареная, с солью",111 кКал,111 кКал,111 кКал,111 кКал
"Суккоташ (смесь кукурузы и лимской фасоли), замороженная",93 кКал,93 кКал,93 кКал,93 кКал
"Суккоташ (смесь кукурузы и лимской фасоли), замороженная, вареная, без соли",93 кКал,93 кКал,93 кКал,93 кКал
"Суккоташ (смесь кукурузы и лимской фасоли), замороженная, вареная, с солью",93 кКал,93 кКал,93 кКал,93 кКал
"Суккоташ (смесь кукурузы и лимской фасоли), с раздавленными зарнами кукурузы, консервированная",77 кКал,77 кКал,77 кКал,77 кКал
