Продукт,Калорийность,Белки,Жиры,Углеводы
"Пирог, фунтовый, (мука, масло и сахар в равных пропорциях), промышленного изготовления, без масла, обогащенный",389 кКал,389 кКал,389 кКал,389 кКал
"Пирог, яблочный, приготовленный по рецепту",265 кКал,265 кКал,265 кКал,265 кКал
"Пирожки жареные с капустой, по 2-188",230 кКал,230 кКал,230 кКал,230 кКал
Пирожки картофельные с морковью по 1-246,124 кКал,124 кКал,124 кКал,124 кКал
"Пирожки печеные простые, по 2-188",250 кКал,250 кКал,250 кКал,250 кКал
Пластинки из цельно-молотой пшеницы,342 кКал,342 кКал,342 кКал,342 кКал
"Пончики, на дрожжах, глазированные, необогащенные (включая медовые булочки)",403 кКал,403 кКал,403 кКал,403 кКал
"Пончики, на дрожжах, глазированные, обогащенные (включая медовые булочки)",421 кКал,421 кКал,421 кКал,421 кКал
"Пончики, на дрожжах, с желейной начинкой",340 кКал,340 кКал,340 кКал,340 кКал
"Пончики, на дрожжах, с кремовой начинкой",361 кКал,361 кКал,361 кКал,361 кКал
Пшеничный хлеб,274 кКал,274 кКал,274 кКал,274 кКал
Пшеничный хлеб из пророщенных зерен,188 кКал,188 кКал,188 кКал,188 кКал
"Пшеничный хлеб из пророщенных зерен, тосты",205 кКал,205 кКал,205 кКал,205 кКал
Пшеничный хлеб низкокалорийный,217 кКал,217 кКал,217 кКал,217 кКал
Пшеничный хлеб с отрубями,248 кКал,248 кКал,248 кКал,248 кКал
"Пшеничный хлеб, тосты",313 кКал,313 кКал,313 кКал,313 кКал
"Разрыхлитель пищевой, винный камень (смесь тартрата калия E336i с битартратом калия E336ii)",258 кКал,258 кКал,258 кКал,258 кКал
"Разрыхлитель пищевой, дрожжи, пекарные, активные, сухие",325 кКал,325 кКал,325 кКал,325 кКал
"Разрыхлитель пищевой, дрожжи, пекарные, прессованные",105 кКал,105 кКал,105 кКал,105 кКал
"Разрыхлитель пищевой, пекарный порошок (заменяющий дрожжи), двойного действия, straight phosphate",51 кКал,51 кКал,51 кКал,51 кКал
"Разрыхлитель пищевой, пекарный порошок (заменяющий дрожжи), двойного действия, натрий, сульфат алюминия (Е-520)",53 кКал,53 кКал,53 кКал,53 кКал
"Разрыхлитель пищевой, пекарный порошок (заменяющий дрожжи), с низким содерж. натрия",97 кКал,97 кКал,97 кКал,97 кКал
Ржаной хлеб,259 кКал,259 кКал,259 кКал,259 кКал
"Ржаной хлеб, низкокалорийный",203 кКал,203 кКал,203 кКал,203 кКал
"Ржаной хлеб, тосты",284 кКал,284 кКал,284 кКал,284 кКал
