Продукт,Калорийность,Белки,Жиры,Углеводы
"Кофе натуральный со сгущенным молоком, консервы",312 кКал,312 кКал,312 кКал,312 кКал
Кумыс из кобыльего молока,50 кКал,50 кКал,50 кКал,50 кКал
"Кумыс коровий, нежирный",41 кКал,41 кКал,41 кКал,41 кКал
Масло сливочное «Вологодское»,748 кКал,748 кКал,748 кКал,748 кКал
Масло сливочное 55% жирности,499 кКал,499 кКал,499 кКал,499 кКал
"Масло сливочное 55% жирности, соленое",499 кКал,499 кКал,499 кКал,499 кКал
"Масло сливочное 60% жирности, высокобелковое",567 кКал,567 кКал,567 кКал,567 кКал
"Масло сливочное 61,5% жирности, бутербродное",566 кКал,566 кКал,566 кКал,566 кКал
"Масло сливочное 71,5% жирности, крестьянское соленое",647 кКал,647 кКал,647 кКал,647 кКал
"Масло сливочное 72,5% жирности, крестьянское",661 кКал,661 кКал,661 кКал,661 кКал
"Масло сливочное 75% жирности, обогащённое витамином Е",683 кКал,683 кКал,683 кКал,683 кКал
"Масло сливочное 77% жирности, любительское соленое",700 кКал,700 кКал,700 кКал,700 кКал
"Масло сливочное 78% жирности, любительское",709 кКал,709 кКал,709 кКал,709 кКал
Масло сливочное 81% жирности,717 кКал,717 кКал,717 кКал,717 кКал
"Масло сливочное 81% жирности, соленое",717 кКал,717 кКал,717 кКал,717 кКал
"Масло сливочное 82,5% жирности, традиционное (в т.ч. Вологодское)",748 кКал,748 кКал,748 кКал,748 кКал
"Масло сливочное взбитое 78,3% жирности, соленое",731 кКал,731 кКал,731 кКал,731 кКал
Масло сливочное топлёное,900 кКал,900 кКал,900 кКал,900 кКал
"Масло сливочное топленое, 99% жирности",892 кКал,892 кКал,892 кКал,892 кКал
"Молоко 1,5% жирности, пастеризованное",45 кКал,45 кКал,45 кКал,45 кКал
"Молоко 1,5% жирности, стерилизованное",45 кКал,45 кКал,45 кКал,45 кКал
"Молоко 1%  жирности, с добавлением сухого обезжиренного молока, с витаминами A и D",43 кКал,43 кКал,43 кКал,43 кКал
Молоко 1% жирности,42 кКал,42 кКал,42 кКал,42 кКал
Молоко 1% жирности высокобелковое,52 кКал,52 кКал,52 кКал,52 кКал
"Молоко 1% жирности высокобелковое, с витаминами A и D",48 кКал,48 кКал,48 кКал,48 кКал
