Продукт,Калорийность,Белки,Жиры,Углеводы
Пудинг ореховый,"229,4 кКал","229,4 кКал","229,4 кКал","229,4 кКал"
"Пудинг рисовый, манный, пшенный","189,6 кКал","189,6 кКал","189,6 кКал","189,6 кКал"
Пудинг с грушами,"131,2 кКал","131,2 кКал","131,2 кКал","131,2 кКал"
Пудинг сливочный с орехами,"307,1 кКал","307,1 кКал","307,1 кКал","307,1 кКал"
Пудинг сухарный,"213,3 кКал","213,3 кКал","213,3 кКал","213,3 кКал"
Ревень с сахаром,"99,6 кКал","99,6 кКал","99,6 кКал","99,6 кКал"
Ревень с сухарями и сливками,"100,4 кКал","100,4 кКал","100,4 кКал","100,4 кКал"
Самбук абрикосовый,"115,1 кКал","115,1 кКал","115,1 кКал","115,1 кКал"
Самбук из абрикосов,"86,5 кКал","86,5 кКал","86,5 кКал","86,5 кКал"
Самбук яблочный или сливовый,"90,3 кКал","90,3 кКал","90,3 кКал","90,3 кКал"
Сгущенка по-русски,"120,4 кКал","120,4 кКал","120,4 кКал","120,4 кКал"
Сельдерей на десерт,0 кКал,0 кКал,0 кКал,0 кКал
Сладкий молочный соус,"84,1 кКал","84,1 кКал","84,1 кКал","84,1 кКал"
Сладкое блюдо из риса и творога,"236,4 кКал","236,4 кКал","236,4 кКал","236,4 кКал"
Сливки или сметана взбитые,"231,3 кКал","231,3 кКал","231,3 кКал","231,3 кКал"
Сливовый соус,"42,4 кКал","42,4 кКал","42,4 кКал","42,4 кКал"
Смородина с медом и миндалем,"191,4 кКал","191,4 кКал","191,4 кКал","191,4 кКал"
"Смородиновый ""снег""","111,5 кКал","111,5 кКал","111,5 кКал","111,5 кКал"
Снежки,"138,2 кКал","138,2 кКал","138,2 кКал","138,2 кКал"
Соус абрикосовый,"250,9 кКал","250,9 кКал","250,9 кКал","250,9 кКал"
"Соус земляничный или малиновый, или вишневый","244,5 кКал","244,5 кКал","244,5 кКал","244,5 кКал"
Соус из брусники и сыра,"208,5 кКал","208,5 кКал","208,5 кКал","208,5 кКал"
Соус из изюма и миндаля,"144,2 кКал","144,2 кКал","144,2 кКал","144,2 кКал"
Соус из какао,"95,9 кКал","95,9 кКал","95,9 кКал","95,9 кКал"
Соус из крыжовника,35 кКал,35 кКал,35 кКал,35 кКал
Соус из яблок и брусники,"174,9 кКал","174,9 кКал","174,9 кКал","174,9 кКал"
Соус клюквенный,"67,3 кКал","67,3 кКал","67,3 кКал","67,3 кКал"
Соус сметанный,382 кКал,382 кКал,382 кКал,382 кКал
Соус яблочный,"61,1 кКал","61,1 кКал","61,1 кКал","61,1 кКал"
Суфле,"203,2 кКал","203,2 кКал","203,2 кКал","203,2 кКал"
"Суфле ванильное, шоколадное, ореховое","212,1 кКал","212,1 кКал","212,1 кКал","212,1 кКал"
Сырники с морковью,248 кКал,248 кКал,248 кКал,248 кКал
Творог апельсиновый,"196,8 кКал","196,8 кКал","196,8 кКал","196,8 кКал"
Творожный соус,"118,8 кКал","118,8 кКал","118,8 кКал","118,8 кКал"
"Торт ""Вишня в сотах""","234,2 кКал","234,2 кКал","234,2 кКал","234,2 кКал"
"Торт ""Катерина""","381,2 кКал","381,2 кКал","381,2 кКал","381,2 кКал"
