Продукт,Калорийность,Белки,Жиры,Углеводы
"PIZZA HUT, сырная пицца ""Cheese Pizza"", на стандартном корже, 12 дюймов",271 кКал,271 кКал,271 кКал,271 кКал
"PIZZA HUT, сырная пицца ""Cheese Pizza"", на стандартном корже, 14 дюймов",275 кКал,275 кКал,275 кКал,275 кКал
"PIZZA HUT, сырная пицца ""Cheese Pizza"", на толстом корже, 12 дюймов",280 кКал,280 кКал,280 кКал,280 кКал
"PIZZA HUT, сырная пицца ""Cheese Pizza"", на толстом корже, 14 дюймов",276 кКал,276 кКал,276 кКал,276 кКал
"PIZZA HUT, сырная пицца ""Cheese Pizza"", на тонком хрустящем корже, 12 дюймов",303 кКал,303 кКал,303 кКал,303 кКал
"PIZZA HUT, сырная пицца ""Cheese Pizza"", на тонком хрустящем корже, 14 дюймов",306 кКал,306 кКал,306 кКал,306 кКал
"POPEYES, бисквит, информация состоянием на ноябрь 2007",401 кКал,401 кКал,401 кКал,401 кКал
"POPEYES, жареная в панировке курица, бедра, мясо и шкурка, информация состоянием на январь 2007",310 кКал,310 кКал,310 кКал,310 кКал
"POPEYES, жареная в панировке курица, грудка, мясо и шкурка, информация состоянием на январь 2007",274 кКал,274 кКал,274 кКал,274 кКал
"POPEYES, жареная в панировке курица, крылышки, мясо и шкурка, информация состоянием на  январь 2007",338 кКал,338 кКал,338 кКал,338 кКал
"POPEYES, жареная в панировке курица, ножки, мясо и шкурка, острые, информация состоянием на  январь 2007",293 кКал,293 кКал,293 кКал,293 кКал
"POPEYES, жареная в панировке курица, шкурка, информация состоянием на  январь 2007",433 кКал,433 кКал,433 кКал,433 кКал
"POPEYES, жареная курица, бедра, только мясо, информация состоянием на  январь 2007",188 кКал,188 кКал,188 кКал,188 кКал
"POPEYES, жареная курица, грудка, только мясо, информация состоянием на  январь 2007",157 кКал,157 кКал,157 кКал,157 кКал
"POPEYES, жареная курица, крылышки, только мясо, информация состоянием на  январь 2007",212 кКал,212 кКал,212 кКал,212 кКал
"POPEYES, жареная курица, ножки, только мясо, информация состоянием на  январь 2007",170 кКал,170 кКал,170 кКал,170 кКал
"POPEYES, куринные полосочки, информация состоянием на  2006 год",271 кКал,271 кКал,271 кКал,271 кКал
"POPEYES, острые куринные полосочки, информация состоянием на  2006 год",253 кКал,253 кКал,253 кКал,253 кКал
"POPEYES, салат из капусты",161 кКал,161 кКал,161 кКал,161 кКал
"TACO BELL, буррито ""SUPREME"" с говядиной",183 кКал,183 кКал,183 кКал,183 кКал
"TACO BELL, буррито ""SUPREME"" с курицей",179 кКал,179 кКал,179 кКал,179 кКал
"TACO BELL, буррито ""SUPREME"" со стейком",183 кКал,183 кКал,183 кКал,183 кКал
"TACO BELL, буррито с бобами",209 кКал,209 кКал,209 кКал,209 кКал
"TACO BELL, мягкое тако (тако с пшеничной лепешкой) с говядиной",206 кКал,206 кКал,206 кКал,206 кКал
"TACO BELL, мягкое тако (тако с пшеничной лепешкой) с курицей",189 кКал,189 кКал,189 кКал,189 кКал
"TACO BELL, мягкое тако (тако с пшеничной лепешкой) со стейком",225 кКал,225 кКал,225 кКал,225 кКал
"TACO BELL, начо (картофельные чипсы)",350 кКал,350 кКал,350 кКал,350 кКал
"TACO BELL, начо (картофельные чипсы) с соусом сюприм",246 кКал,246 кКал,246 кКал,246 кКал
"TACO BELL, Оригинальное тако с говядиной",229 кКал,229 кКал,229 кКал,229 кКал
"TACO BELL, салат тако",170 кКал,170 кКал,170 кКал,170 кКал
"WENDY'S, гамбургер ""CLASSIC SINGLE"", без сыра",213 кКал,213 кКал,213 кКал,213 кКал
"WENDY'S, гамбургер ""CLASSIC SINGLE"", с сыром",221 кКал,221 кКал,221 кКал,221 кКал
"WENDY'S, гамбургер ""Jr. Hamburger"", без сыра",243 кКал,243 кКал,243 кКал,243 кКал
"WENDY'S, гамбургер ""Jr. Hamburger"", с сыром",256 кКал,256 кКал,256 кКал,256 кКал
"WENDY'S, замороженные десерты на каждый день ""Frosty Dairy Dessert""",132 кКал,132 кКал,132 кКал,132 кКал
"WENDY'S, классический двойной сэндвич ""CLASSIC DOUBLE"", с сыром",241 кКал,241 кКал,241 кКал,241 кКал
"WENDY'S, куринные нагетсы",326 кКал,326 кКал,326 кКал,326 кКал
"WENDY'S, сэндвич с куриным филе по-домашнему (Homestyle Chicken Fillet Sandwich)",214 кКал,214 кКал,214 кКал,214 кКал
"WENDY'S, сэндвич с куриным филе, приготовленным на гриле (Ultimate Chicken Grill Sandwich)",179 кКал,179 кКал,179 кКал,179 кКал
"Легкое мягкое мороженое, смешанное с конфетами из молочного шоколада",182 кКал,182 кКал,182 кКал,182 кКал
"Легкое мягкое мороженое, смешанное с кусочками печенья",169 кКал,169 кКал,169 кКал,169 кКал
"Макдональдс, Бэкон Ранч, салат без цыпленка",61 кКал,61 кКал,61 кКал,61 кКал
"Макдональдс, Бэкон Ранч, салат с цыпленком гриль",81 кКал,81 кКал,81 кКал,81 кКал
"Макдональдс, Сайд Салат",20 кКал,20 кКал,20 кКал,20 кКал
"Пицца, с мясом и овощами, на растущем корже, замороженная, приготовленная",271 кКал,271 кКал,271 кКал,271 кКал
"Пицца, с мясом и овощами, на стандартном корже, замороженная, приготовленная",276 кКал,276 кКал,276 кКал,276 кКал
"Пицца, с паперони, на стандартном корже, замороженная, приготовленная",274 кКал,274 кКал,274 кКал,274 кКал
"Пицца, с сыром, замороженная, приготовленная",268 кКал,268 кКал,268 кКал,268 кКал
"Пицца, с сыром, на растущем корже, замороженная, приготовленная",260 кКал,260 кКал,260 кКал,260 кКал
"Сэндвич с сосиской ""Sausage Griddle Cake Sandwich""",318 кКал,318 кКал,318 кКал,318 кКал
"Сэндвич с яйцом, сыром и беконом ""Griddle Cak""",272 кКал,272 кКал,272 кКал,272 кКал
"Сэндвич с яйцом, сыром и сосиской ""Griddle Cak""",291 кКал,291 кКал,291 кКал,291 кКал
"Фаст фуд, жареный цыпленок, бедрышки, мясо с кожицей, в панировке",274 кКал,274 кКал,274 кКал,274 кКал
"Фаст фуд, жареный цыпленок, бедрышки, только мясо, без кожицы и без панировки",178 кКал,178 кКал,178 кКал,178 кКал
"Фаст фуд, жареный цыпленок, голень, мясо с кожицей, в панировке",267 кКал,267 кКал,267 кКал,267 кКал
"Фаст фуд, жареный цыпленок, голень, только мясо, без кожицы и без панировки",172 кКал,172 кКал,172 кКал,172 кКал
"Фаст фуд, жареный цыпленок, грудки, только мясо, без кожицы и без панировки",153 кКал,153 кКал,153 кКал,153 кКал
"Фаст фуд, жареный цыпленок, кожа в панировке",398 кКал,398 кКал,398 кКал,398 кКал
"Фаст фуд, жареный цыпленок, крылышки, мясо с кожицей, в панировке",310 кКал,310 кКал,310 кКал,310 кКал
"Фаст фуд, жареный цыпленок, крылышки, только мясо, без кожицы и без панировки",215 кКал,215 кКал,215 кКал,215 кКал
"Фаст фуд, клаб сэндвич (трехслойный), с курицей-гриль, беконом, томатами, сыром, салатом и майонезом",220 кКал,220 кКал,220 кКал,220 кКал
"Фаст фуд, клаб сэндвич (трехслойный), с хрустящей курицей, беконом, томатами, сыром, салатом и майонезом",257 кКал,257 кКал,257 кКал,257 кКал
"Фаст-фуд, английский кекс, с сыром и сосиской",338 кКал,338 кКал,338 кКал,338 кКал
"Фаст-фуд, английский кекс, с яйцом, сыром и канадским беконом",228 кКал,228 кКал,228 кКал,228 кКал
