Продукт,Калорийность,Белки,Жиры,Углеводы
"Манная каша вязкая, по 1-276",100 кКал,100 кКал,100 кКал,100 кКал
Манная крупа,333 кКал,333 кКал,333 кКал,333 кКал
"Манная крупа, необогащенная",360 кКал,360 кКал,360 кКал,360 кКал
"Манная крупа, обогащенная",360 кКал,360 кКал,360 кКал,360 кКал
Мука из зародышей пшеницы,335 кКал,335 кКал,335 кКал,335 кКал
Мука из сорго,357 кКал,357 кКал,357 кКал,357 кКал
"Мука из сорго, цельнозерновая",359 кКал,359 кКал,359 кКал,359 кКал
Мука из тритикале,338 кКал,338 кКал,338 кКал,338 кКал
"Овес, зерно",316 кКал,316 кКал,316 кКал,316 кКал
"Овес, зерно сухое",389 кКал,389 кКал,389 кКал,389 кКал
"Овсяная каша быстрого приготовления (растворимая) с изюмом и специями, приготовленная на воде",88 кКал,88 кКал,88 кКал,88 кКал
"Овсяная каша быстрого приготовления (растворимая) с корицей и специями, приготовленная на воде",96 кКал,96 кКал,96 кКал,96 кКал
"Овсяная каша быстрого приготовления (растворимая) с корицей и специями, сухая",369 кКал,369 кКал,369 кКал,369 кКал
"Овсяная каша быстрого приготовления (растворимая), приготовленная на воде",68 кКал,68 кКал,68 кКал,68 кКал
"Овсяная каша быстрого приготовления (растворимая), с кленовым и коричневым сахаром, сухая",386 кКал,386 кКал,386 кКал,386 кКал
"Овсяная каша быстрого приготовления (растворимая), сухая",362 кКал,362 кКал,362 кКал,362 кКал
"Овсяная каша жидкая, приготовленная на воде, без соли",71 кКал,71 кКал,71 кКал,71 кКал
"Овсяная каша жидкая, приготовленная на воде, с солью",71 кКал,71 кКал,71 кКал,71 кКал
"Овсяная каша из хлопьев «Геркулес», по 1-280",105 кКал,105 кКал,105 кКал,105 кКал
"Овсяная каша, по 1-280",109 кКал,109 кКал,109 кКал,109 кКал
Овсяная крупа,379 кКал,379 кКал,379 кКал,379 кКал
Овсяная крупа,342 кКал,342 кКал,342 кКал,342 кКал
Овсяная мука,369 кКал,369 кКал,369 кКал,369 кКал
Овсяная мука с отрубями,404 кКал,404 кКал,404 кКал,404 кКал
"Овсянка быстрорастворимая с корицей, сухая (произв: The Quaker Oats, Co.)",369 кКал,369 кКал,369 кКал,369 кКал
Овсяные отруби,246 кКал,246 кКал,246 кКал,246 кКал
"Овсяные отруби, приготовленные",40 кКал,40 кКал,40 кКал,40 кКал
"Овсяные хлопья ""геркулес""",352 кКал,352 кКал,352 кКал,352 кКал
"Паста (макароны, спагетти)  из кукурузной муки, безглютеновые, приготовленные",126 кКал,126 кКал,126 кКал,126 кКал
"Паста (макароны, спагетти) без яиц, домашняя, приготовленная",124 кКал,124 кКал,124 кКал,124 кКал
"Паста (макароны, спагетти) из коричневой рисовой муки, безглютеновая, приготовленная",138 кКал,138 кКал,138 кКал,138 кКал
"Паста (макароны, спагетти) из кукурузной и рисовой муки, безглютеновая, приготовленная",179 кКал,179 кКал,179 кКал,179 кКал
"Паста (макароны, спагетти) из кукурузной муки и муки киноа, безглютеновая, приготовленная",152 кКал,152 кКал,152 кКал,152 кКал
"Паста (макароны, спагетти) из кукурузной муки, безглютеновые",357 кКал,357 кКал,357 кКал,357 кКал
"Паста (макароны, спагетти) из рисовой муки с экстрактом из рисовых отрубей, безглютеновая, приготовленная",200 кКал,200 кКал,200 кКал,200 кКал
"Паста (макароны, спагетти) из цельнозерновой муки, приготовленная",149 кКал,149 кКал,149 кКал,149 кКал
"Паста (макароны, спагетти) из цельнозерновой муки, сухая",352 кКал,352 кКал,352 кКал,352 кКал
"Паста (макароны, спагетти) яичная, домашняя, приготовленная",130 кКал,130 кКал,130 кКал,130 кКал
"Паста (макароны, спагетти), обогащенные, приготовленные без соли",158 кКал,158 кКал,158 кКал,158 кКал
"Паста (макароны, спагетти), обогащенные, приготовленные с солью",157 кКал,157 кКал,157 кКал,157 кКал
"Паста (макароны, спагетти), обогащенные, сухие",371 кКал,371 кКал,371 кКал,371 кКал
"Паста (макароны, спагетти), приготовленная без соли",158 кКал,158 кКал,158 кКал,158 кКал
"Паста (макароны, спагетти), приготовленная с солью",157 кКал,157 кКал,157 кКал,157 кКал
"Паста (макароны, спагетти), свежезамороженная, неприготовленная",288 кКал,288 кКал,288 кКал,288 кКал
"Паста (макароны, спагетти), свежезамороженная, приготовленная",131 кКал,131 кКал,131 кКал,131 кКал
"Паста (макароны, спагетти), свежезамороженная, со шпинатом, неприготовленная",289 кКал,289 кКал,289 кКал,289 кКал
"Паста (макароны, спагетти), свежезамороженная, со шпинатом, приготовленная",130 кКал,130 кКал,130 кКал,130 кКал
"Паста (макароны, спагетти), сухая",371 кКал,371 кКал,371 кКал,371 кКал
Перловая каша по 1-270,135 кКал,135 кКал,135 кКал,135 кКал
Перловая крупа,315 кКал,315 кКал,315 кКал,315 кКал
