Продукт,Калорийность,Белки,Жиры,Углеводы
"Детское питание, Печенье для прорезывания зубов",407 кКал,407 кКал,407 кКал,407 кКал
"Детское питание, Печенье, детское, фруктовое",435 кКал,435 кКал,435 кКал,435 кКал
"Детское питание, Печенье, с марантой",424 кКал,424 кКал,424 кКал,424 кКал
"Детское питание, Равиоли, с сырной начинкой, с томатным соусом",99 кКал,99 кКал,99 кКал,99 кКал
"Детское питание, Рис с яблоками, сухой",396 кКал,396 кКал,396 кКал,396 кКал
"Детское питание, Сливы, бананы и рис, пюре",57 кКал,57 кКал,57 кКал,57 кКал
"Детское питание, Смесь фруктов йогурт, пюре",75 кКал,75 кКал,75 кКал,75 кКал
"Детское питание, Смесь фруктовых соков с низкожирным йогуртом",74 кКал,74 кКал,74 кКал,74 кКал
"Детское питание, Сок банана, с маложирный йогуртом",86 кКал,86 кКал,86 кКал,86 кКал
"Детское питание, Сок, апельсин и виноград",46 кКал,46 кКал,46 кКал,46 кКал
"Детское питание, Сок, апельсиновый",45 кКал,45 кКал,45 кКал,45 кКал
"Детское питание, Сок, грушевый",43 кКал,43 кКал,43 кКал,43 кКал
"Детское питание, Сок, из апельсинов и абрикосов",46 кКал,46 кКал,46 кКал,46 кКал
"Детское питание, Сок, из апельсинов и ананасов",48 кКал,48 кКал,48 кКал,48 кКал
"Детское питание, Сок, из апельсинов и бананов",50 кКал,50 кКал,50 кКал,50 кКал
"Детское питание, Сок, из морковно-апельсиновый",43 кКал,43 кКал,43 кКал,43 кКал
"Детское питание, Сок, из чернослив и апельсина",70 кКал,70 кКал,70 кКал,70 кКал
"Детское питание, Сок, фруктовая смесь",47 кКал,47 кКал,47 кКал,47 кКал
"Детское питание, Сок, фруктовый пунш, с кальцием",52 кКал,52 кКал,52 кКал,52 кКал
"Детское питание, Сок, яблоко",47 кКал,47 кКал,47 кКал,47 кКал
"Детское питание, Сок, яблоко и персик",43 кКал,43 кКал,43 кКал,43 кКал
"Детское питание, Сок, яблоко и слива",49 кКал,49 кКал,49 кКал,49 кКал
"Детское питание, Сок, яблоко и чернослив",72 кКал,72 кКал,72 кКал,72 кКал
"Детское питание, Сок, яблочно-апельсиново-банановый",47 кКал,47 кКал,47 кКал,47 кКал
"Детское питание, Сок, яблочно-апельсиновый",43 кКал,43 кКал,43 кКал,43 кКал
"Детское питание, Сок, яблочно-клюквенный",46 кКал,46 кКал,46 кКал,46 кКал
"Детское питание, Сок, яблочно, батат",47 кКал,47 кКал,47 кКал,47 кКал
"Детское питание, Сок, яблочный с вишней",41 кКал,41 кКал,41 кКал,41 кКал
"Детское питание, Сок, яблочный, с кальцием",46 кКал,46 кКал,46 кКал,46 кКал
"Детское питание, Сухарики",426 кКал,426 кКал,426 кКал,426 кКал
"Детское питание, Фасоль зеленая, кусочки, для детей, начинающих ходить",29 кКал,29 кКал,29 кКал,29 кКал
"Детское питание, Фруктовый десерт, манго с тапиокой",70 кКал,70 кКал,70 кКал,70 кКал
"Детское питание, Фруктовый десерт, суприм",73 кКал,73 кКал,73 кКал,73 кКал
"Детское питание, Фрукты, абрикос с тапиокой, пюре",60 кКал,60 кКал,60 кКал,60 кКал
"Детское питание, Фрукты, бананы с ананасами и тапиокой, пюре",65 кКал,65 кКал,65 кКал,65 кКал
"Детское питание, Фрукты, бананы с тапиокой, пюре",56 кКал,56 кКал,56 кКал,56 кКал
"Детское питание, Фрукты, бананы с яблоками и грушами, пюре",83 кКал,83 кКал,83 кКал,83 кКал
"Детское питание, Фрукты, груши с ананасом, пюре",41 кКал,41 кКал,41 кКал,41 кКал
"Детское питание, Фрукты, груши, для малышариков",44 кКал,44 кКал,44 кКал,44 кКал
"Детское питание, Фрукты, груши, пюре",42 кКал,42 кКал,42 кКал,42 кКал
"Детское питание, Фрукты, гуава с папайей и тапиокой, пюре",63 кКал,63 кКал,63 кКал,63 кКал
"Детское питание, Фрукты, папайя и яблочное пюре с тапиокой, пюре",70 кКал,70 кКал,70 кКал,70 кКал
"Детское питание, Фрукты, персики, пюре",65 кКал,65 кКал,65 кКал,65 кКал
"Детское питание, Фрукты, сливы с тапиокой, без аскорбиновой кислоты, пюре",71 кКал,71 кКал,71 кКал,71 кКал
"Детское питание, Фрукты, тутти-фрутти, для малышариков",69 кКал,69 кКал,69 кКал,69 кКал
"Детское питание, Фрукты, тутти-фрутти, пюре",66 кКал,66 кКал,66 кКал,66 кКал
"Детское питание, Фрукты, чернослив с тапиокой, без аскорбиновой кислоты, пюре",69 кКал,69 кКал,69 кКал,69 кКал
"Детское питание, Фрукты, яблоко и малина, пюре",58 кКал,58 кКал,58 кКал,58 кКал
"Детское питание, Фрукты, яблоко и черникой, пюре",61 кКал,61 кКал,61 кКал,61 кКал
"Детское питание, Фрукты, яблочное пюре и абрикосы, пюре",44 кКал,44 кКал,44 кКал,44 кКал
"Детское питание, Фрукты, яблочное пюре и ананас, пюре",37 кКал,37 кКал,37 кКал,37 кКал
"Детское питание, Фрукты, яблочное пюре и вишня, пюре",51 кКал,51 кКал,51 кКал,51 кКал
"Детское питание, Чернослив, без доб. витамина С, пюре",100 кКал,100 кКал,100 кКал,100 кКал
"Детское питание, Яблоки с ветчиной, пюре",62 кКал,62 кКал,62 кКал,62 кКал
"Детское питание, Яблоки с курицей, пюре",65 кКал,65 кКал,65 кКал,65 кКал
"Детское питание, Яблоки, кубики, для детей, начинающих ходить",50 кКал,50 кКал,50 кКал,50 кКал
"Детское питание, Яблочно-банановый сок",51 кКал,51 кКал,51 кКал,51 кКал
"Детское питание, Яблочный йогурт, десерт, пюре",93 кКал,93 кКал,93 кКал,93 кКал
"Заменитель грудного молока, MEAD JOHNSON, ENFAMIL LIPIL, с железом, готовый к употреблению, с ARA (Арахидоновая кислота) и DHA-Докозагексаеновая кисло",64 кКал,64 кКал,64 кКал,64 кКал
"Заменитель грудного молока, MEAD JOHNSON, ENFAMIL, AR LIPIL, готовый к употреблению, с ARA (Арахидоновая кислота) и DHA-Докозагексаеновая кислота",71 кКал,71 кКал,71 кКал,71 кКал
"Заменитель грудного молока, MEAD JOHNSON, ENFAMIL, AR LIPIL, порошок, с ARA (Арахидоновая кислота) и DHA-Докозагексаеновая кислота",504 кКал,504 кКал,504 кКал,504 кКал
"Заменитель грудного молока, MEAD JOHNSON, ENFAMIL, ENFACARE LIPIL, готовый к употреблению, с  ARA (Арахидоновая кислота) и DHA-Докозагексаеновая кисло",73 кКал,73 кКал,73 кКал,73 кКал
"Заменитель грудного молока, MEAD JOHNSON, ENFAMIL, ENFACARE LIPIL, порошок, с ARA (Арахидоновая кислота) и DHA-Докозагексаеновая кислота",505 кКал,505 кКал,505 кКал,505 кКал
"Заменитель грудного молока, MEAD JOHNSON, ENFAMIL, LACTOFREE, LIPIL, с железом, жидкий концентрат, невосстановленный, с ARA (Арахидоновая кислота) и D",132 кКал,132 кКал,132 кКал,132 кКал
"Заменитель грудного молока, MEAD JOHNSON, ENFAMIL, LACTOFREE, готовый к употреблению",63 кКал,63 кКал,63 кКал,63 кКал
"Заменитель грудного молока, MEAD JOHNSON, ENFAMIL, LIPIL, готовый к употреблению, с ARA (Арахидоновая кислота) и DHA-Докозагексаеновая кислота",68 кКал,68 кКал,68 кКал,68 кКал
"Заменитель грудного молока, MEAD JOHNSON, ENFAMIL, LIPIL, с железом, жидкий концентрат, с ARA (Арахидоновая кислота) и DHA-Докозагексаеновая кислота",131 кКал,131 кКал,131 кКал,131 кКал
"Заменитель грудного молока, MEAD JOHNSON, ENFAMIL, LIPIL, с железом, порошок, с ARA (Арахидоновая кислота) и DHA-Докозагексаеновая кислота",511 кКал,511 кКал,511 кКал,511 кКал
"Заменитель грудного молока, MEAD JOHNSON, ENFAMIL, LIPIL, с низким содерж. железа, готовый к употреблению, с ARA (Арахидоновая кислота) и DHA-Докозаге",64 кКал,64 кКал,64 кКал,64 кКал
"Заменитель грудного молока, MEAD JOHNSON, ENFAMIL, LIPIL, с низким содерж. железа, жидкий концентрат, с ARA (Арахидоновая кислота) и DHA-Докозагексаен",131 кКал,131 кКал,131 кКал,131 кКал
"Заменитель грудного молока, MEAD JOHNSON, ENFAMIL, LIPIL, с низким содерж. железа, порошок, с ARA (Арахидоновая кислота) и DHA-Докозагексаеновая кисло",511 кКал,511 кКал,511 кКал,511 кКал
"Заменитель грудного молока, MEAD JOHNSON, ENFAMIL, NUTRAMIGEN LIPIL, с железом, готовый к употреблению, с ARA (Арахидоновая кислота) и DHA-Докозагекса",68 кКал,68 кКал,68 кКал,68 кКал
"Заменитель грудного молока, MEAD JOHNSON, ENFAMIL, NUTRAMIGEN LIPIL, с железом, порошок, невосстановленный, с ARA (Арахидоновая кислота) и DHA-Докозаг",514 кКал,514 кКал,514 кКал,514 кКал
"Заменитель грудного молока, MEAD JOHNSON, ENFAMIL, NUTRAMIGEN, LIPIL, с железом, жидкий концентрат, невосстановленный, с ARA (Арахидоновая кислота) и",126 кКал,126 кКал,126 кКал,126 кКал
"Заменитель грудного молока, MEAD JOHNSON, ENFAMIL, NUTRAMIGEN, с железом, готовый к употреблению",66 кКал,66 кКал,66 кКал,66 кКал
"Заменитель грудного молока, MEAD JOHNSON, ENFAMIL, NUTRAMIGEN, с железом, жидкий концентрат, невосстановленный",127 кКал,127 кКал,127 кКал,127 кКал
"Заменитель грудного молока, MEAD JOHNSON, ENFAMIL, NUTRAMIGEN, с железом, порошок, невосстановленный",502 кКал,502 кКал,502 кКал,502 кКал
"Заменитель грудного молока, MEAD JOHNSON, ENFAMIL, PROSOBEE LIPIL, с железом, невосстановленный, с ARA (Арахидоновая кислота) и DHA-Докозагексаеновая",512 кКал,512 кКал,512 кКал,512 кКал
"Заменитель грудного молока, MEAD JOHNSON, ENFAMIL, PROSOBEE, LIPIL, жидкий концентрат, невосстановленный, с ARA (Арахидоновая кислота) и DHA-Докозагек",131 кКал,131 кКал,131 кКал,131 кКал
"Заменитель грудного молока, MEAD JOHNSON, ENFAMIL, PROSOBEE, с железом, порошок, невосстановленный",510 кКал,510 кКал,510 кКал,510 кКал
