Продукт,Калорийность,Белки,Жиры,Углеводы
"Картофель-пюре, приготовленный из хлопьев не содержащих молоко, в конце приготовления  добавлены молоко и маргарин",113 кКал,113 кКал,113 кКал,113 кКал
"Картофель-фри всех типов, без добавления соли в процессе жарки, замороженный, до готовки (в сыром виде)",147 кКал,147 кКал,147 кКал,147 кКал
"Картофель-фри всех типов, без добавления соли в процессе жарки, замороженный, после приготовление в духовке",168 кКал,168 кКал,168 кКал,168 кКал
"Картофель-фри всех типов, с добавлением соли, замороженный, домашнего приготовления, после приготовления в духовке",158 кКал,158 кКал,158 кКал,158 кКал
"Картофель-фри всех типов, с добавлением соли, замороженный, неприготовленный",147 кКал,147 кКал,147 кКал,147 кКал
"Картофель-фри со стейком, с добавлением соли в процессе жарки, замороженный, до готовки (в сыром виде)",130 кКал,130 кКал,130 кКал,130 кКал
"Картофель-фри со стейком, с добавлением соли в процессе жарки, замороженный, после приготовления в духовке",148 кКал,148 кКал,148 кКал,148 кКал
"Картофель-фри, прессованный, замороженный, неприготовленный",260 кКал,260 кКал,260 кКал,260 кКал
"Картофель-фри, прессованный, замороженный, приготовленный без соли, после приготовления в духовке",333 кКал,333 кКал,333 кКал,333 кКал
"Картофель-фри, с добавлением соли в процессе жарки, замороженный, до готовки (в сыром виде)",163 кКал,163 кКал,163 кКал,163 кКал
"Картофель-фри, с добавлением соли в процессе жарки, замороженный, после приготовления в духовке",194 кКал,194 кКал,194 кКал,194 кКал
"Картофель-фри, фигурной или прямой порезки, с добавлением соли в процессе жарки, замороженный, до готовки (в сыром виде)",146 кКал,146 кКал,146 кКал,146 кКал
"Картофель-фри, фигурной или прямой порезки, с добавлением соли в процессе жарки, замороженный, после приготовления в духовке",161 кКал,161 кКал,161 кКал,161 кКал
"Картофель, замороженный целиком, вареный, без соли",65 кКал,65 кКал,65 кКал,65 кКал
"Картофель, замороженный целиком, вареный, без соли",63 кКал,63 кКал,63 кКал,63 кКал
"Картофель, запеченный в сметанном соусе по 1-244",114 кКал,114 кКал,114 кКал,114 кКал
"Картофель, запеченный с яйцом по 1-244",228 кКал,228 кКал,228 кКал,228 кКал
"Картофель, консервированный",44 кКал,44 кКал,44 кКал,44 кКал
"Картофель, консервированный, без добавления соли, сухой продукт без маринада",60 кКал,60 кКал,60 кКал,60 кКал
"Картофель, консервированный, сухой продукт без маринада",60 кКал,60 кКал,60 кКал,60 кКал
"Картофель, приготовленный в микроволновой печи  в кожуре, с солью, целиком",105 кКал,105 кКал,105 кКал,105 кКал
"Картофель, приготовленный в микроволновой печи в кожуре, без соли, целиком",105 кКал,105 кКал,105 кКал,105 кКал
"Картофель, приготовленный в микроволновой печи в кожуре, сердцевина, без соли",100 кКал,100 кКал,100 кКал,100 кКал
"Картофель, приготовленный в микроволновой печи в кожуре, сердцевина, с солью",100 кКал,100 кКал,100 кКал,100 кКал
"Картофель, приготовленный в микроволновой печи, только кожура, без  соли",132 кКал,132 кКал,132 кКал,132 кКал
"Картофель, приготовленный в микроволновой печи, только кожура, с солью",132 кКал,132 кКал,132 кКал,132 кКал
"Картофель, тушенный с грибами по 1-226",134 кКал,134 кКал,134 кКал,134 кКал
"Картофельная кожура, запеченая с солью",198 кКал,198 кКал,198 кКал,198 кКал
"Картофельная кожура, сырая",58 кКал,58 кКал,58 кКал,58 кКал
Картофельное пюре по 1-208,75 кКал,75 кКал,75 кКал,75 кКал
Картофельное пюре с молоком,83 кКал,83 кКал,83 кКал,83 кКал
Картофельное пюре с молоком и маслом,113 кКал,113 кКал,113 кКал,113 кКал
"Картофельное пюре сухое, растворимое, быстрого приготовления (хлопья, крупка)",350 кКал,350 кКал,350 кКал,350 кКал
"Картофельное пюре сухое, хлопья без молока",354 кКал,354 кКал,354 кКал,354 кКал
Картофельные зразы по 1-232,152 кКал,152 кКал,152 кКал,152 кКал
Картофельные котлеты по 1-232,142 кКал,142 кКал,142 кКал,142 кКал
Картофельные котлеты с творогом по 1-232,179 кКал,179 кКал,179 кКал,179 кКал
"Картофельные котлеты, запеченные по 1-248",139 кКал,139 кКал,139 кКал,139 кКал
Картофельные оладьи,268 кКал,268 кКал,268 кКал,268 кКал
"Картофельные шарики, замороженные, неприготовленные",178 кКал,178 кКал,178 кКал,178 кКал
"Картофельные шарики, замороженные, приготовленые в духовке",192 кКал,192 кКал,192 кКал,192 кКал
Картофельный салат домашнего приготовления,143 кКал,143 кКал,143 кКал,143 кКал
Каша из тыквы по 1-218,87 кКал,87 кКал,87 кКал,87 кКал
"Кимчи (кимчхи, кимча), квашеная острая пекинская капуста",15 кКал,15 кКал,15 кКал,15 кКал
"Кипрей, сырой",150 кКал,150 кКал,150 кКал,150 кКал
"Китайская брокколи (кай-лан, гайлан)",26 кКал,26 кКал,26 кКал,26 кКал
"Китайская горькая тыква, листья",30 кКал,30 кКал,30 кКал,30 кКал
"Китайская горькая тыква, листья, вареные с солью",32 кКал,32 кКал,32 кКал,32 кКал
"Китайская горькая тыква, листья, вареные, без соли",34 кКал,34 кКал,34 кКал,34 кКал
"Китайская горькая тыква, плоды",17 кКал,17 кКал,17 кКал,17 кКал
