Название книги,Автор,Издательство,Цена со скидкой,Цена без скидки,Процент скидки,Наличие на складе 
Современный скрапинг веб-сайтов с помощью Python,Митчелл Райан,Питер:Бестселлеры O`Reilly,1358,2263,40,На складе
Инструментальные средства разработки программного обеспечения Системы Fossil,Орещенков Игорь Сергеевич,Лань:Компьютеры и программное обеспечение,2016,2585,22,На складе
"Эффективный Java. Тюнинг кода на Java 8, 11 и дальше",Оукс Скотт,Питер:Бестселлеры O`Reilly,1975,3291,40,На складе
Веб-разработка с применением Node и Express. Полноценное использование стека JavaScript,Браун Итан,Питер:Бестселлеры O`Reilly,1254,2090,40,На складе
gRPC. Запуск и эксплуатация облачных приложений. Go и Java для Docker и Kubernetes,"Индрасири Касун, Курупу Данеш",Питер:Бестселлеры O`Reilly,1044,1740,40,На складе
Python. Сборник упражнений,Стивенсон Бен,ДМК-Пресс,1097,1407,22,На складе
Совершенный алгоритм. Алгоритмы для NP-трудных задач,Рафгарден Тим,Питер:Библиотека программиста,1149,1915,40,На складе
"Стильный Java. Код, который работает всегда и везде",Фаэлла Марко,Питер:Библиотека программиста,1479,2465,40,На складе
Внедрение зависимостей на платформе .NET,"Симан Марк, Дерсен Стивен Ван",Питер:Для профессионалов,1975,3291,40,На складе
От монолита к микросервисам,Ньюмен Сэм,BHV,830,1064,22,На складе
Электроника. Занимательная электроника,Ревич Юрий Всеволодович,BHV:Электроника,885,1134,22,На складе
Проекты с использованием контроллера Arduino,Петин Виктор Александрович,BHV:Электроника,830,1064,22,На складе
Карьера программиста,Лакман Макдауэлл Гейл,Питер:Библиотека программиста,1234,2057,40,На складе
Практикум по проектированию на языках VerilogHDL и SystemVerilog. Учебное пособие,"Мурсаев Александр Хафизович, Буренева Ольга Игоревна",Лань:Учебники для вузов. Специальная литература,953,1222,22,Ограничено
Глубокое обучение. Легкая разработка проектов на Python,Вейдман Сет,Питер:Бестселлеры O`Reilly,1765,2942,40,На складе
Паттерны проектирования для C# и платформы .NET Core,"Арораа Гаурав, Чилберто Джеффри",Питер:Для профессионалов,2038,3396,40,На складе
Структуры и алгоритмы обработки данных. Учебник для СПО,"Павлов Леонид Александрович, Первова Наталия Викторовна",Лань:Компьютеры и программное обеспечение,1296,1661,22,Ограничено
Численные методы и программирование. Учебное пособие для СПО,Слабнов Виктор Дмитриевич,Лань:Компьютеры и программное обеспечение,3101,3975,22,На складе
Web-программирование на JavaScript. Учебное пособие для СПО,Диков Андрей Валентинович,Лань:Компьютеры и программное обеспечение,1164,1492,22,Ограничено
Технология разработки программного обеспечения. Учебное пособие для СПО,Зубкова Татьяна Михайловна,Лань:Компьютеры и программное обеспечение,2058,2638,22,На складе
"“Непрактичный” Python. Занимательные проекты для тех, кто хочет поумнеть",Воган Ли,BHV,944,1210,22,На складе
Разработка приложений на Swift 5.1 и SwiftUI с нуля,Казанский Александр Анатольевич,BHV:С нуля,830,1064,22,На складе
WordPress с нуля,Молочков Владимир Петрович,BHV:С нуля,542,695,22,На складе
Изучаем C++ через программирование игр,Доусон Майкл,Питер,668,1113,40,На складе
Совершенный софт. Совершенный софт — совершенная,Леве Джувел,Питер:Для профессионалов,1348,2247,40,На складе
"Spark в действии. С примерами Java, Python и Scala",Перрен Жан-Жорж,ДМК-Пресс,3111,3988,22,На складе
Изучаем Power Query. Наглядный подход к подключению и преобразованию данных из множества источников,"Фоукс Линда, Спарроу Уоррен",ДМК-Пресс,1829,2345,22,На складе
Еще более эффективный Agile,Макконнелл Стив,Питер:IT для бизнеса,930,1550,40,На складе
Секреты Python Pro,Хиллард Дейн,Питер:Для профессионалов,1453,2421,40,На складе
Программирование на Python в примерах и задачах,Васильев Алексей Николаевич,Бомбора:Российский компьютерный бестселлер,969,1242,22,На складе
Моделирование и оптимизация процессов управления в технологических системах. Учебник,"Колтунов Игорь Ильич, Крыжановская Татьяна Георгиевна",Кнорус:Магистратура,1112,1425,22,На складе
Математика на Python. Учебник,"Криволапов Сергей Яковлевич, Хрипунова Марина Борисовна",Кнорус:Бакалавриат и магистратура,1840,2359,22,На складе
Квантовые вычисления. Прикладной подход,Хидари Джек Д.,ДМК-Пресс,1829,2345,22,На складе
JavaScript. Полное руководство,Флэнаган Дэвид,Вильямс,4045,5186,22,На складе
Проектирование информационных систем. Основы управления проектами. СПО,"Баллод Борис Анатольевич, Гвоздева Татьяна Вадимовна",Лань:Компьютеры и программное обеспечение,630,808,22,На складе
Проектирование информационных систем. Методы и средства структурно-функционального проектирования,"Гвоздева Татьяна Вадимовна, Баллод Борис Анатольевич",Лань:Компьютеры и программное обеспечение,1164,1492,22,Ограничено
Структуры дан.в C#.Лин.и нелин.динамич.структ.СПО,Симонова Елена Витальевна,Лань:Компьютеры и программное обеспечение,1240,1590,22,На складе
"Проектирование информационных систем. Стандартизация, техническое документирование информ. систем","Гвоздева Татьяна Вадимовна, Баллод Борис Анатольевич",Лань:Компьютеры и программное обеспечение,1529,1960,22,На складе
Системы отображения информации. Дискретные индикаторы. Учебник для вузов,Смирнов Виктор Михайлович,Лань:Компьютеры и программное обеспечение,2374,3044,22,На складе
"Инфокоммуникационные системы. Протоколы,интерфейсы. Практикум. СПО",Журавлев Антон Евгеньевич,Лань:Компьютеры и программное обеспечение,1473,1889,22,На складе
Нечеткое моделирование и управление в технических системах. Учебное пособие для вузов,Кудинов Юрий Иванович и др.,Лань:Компьютеры и программное обеспечение,2157,2766,22,Ограничено
Мультимедийные технологии. Учебник для СПО,Катунин Геннадий Павлович,Лань:Компьютеры и программное обеспечение,3256,4174,22,Ограничено
"Swift. Основы разработки приложений под iOS, iPadOS и macOS",Усов Василий,Питер:Библиотека программиста,1202,2004,40,На складе
Система модулей Java,Парлог Николай,Питер:Для профессионалов,1557,2595,40,На складе
Системы искусственного интеллекта. Учебное пособие,Бураков Михаил Владимирович,Проспект,497,654,24,На складе
Как программировать на С++,"Дейтел Харви, Дейтел Пол Дж.",Бином,1455,1866,22,На складе
Игровой движок. Программирование и внутреннее устройство,Грегори Джейсон,Питер:Для профессионалов,3324,5540,40,На складе
Принципы юнит-тестирования,Хориков Владимир,Питер:Для профессионалов,826,1376,40,На складе
Простой Python. Современный стиль программирования,Любанович Билл,Питер:Бестселлеры O`Reilly,1244,2073,40,На складе
Kotlin. Сборник рецептов. Предметный подход,Коузен Кен,ДМК-Пресс,1463,1876,22,На складе
Олимпиадное программирование,Лааксонен Антти,ДМК-Пресс,1737,2227,22,На складе
Технология программирования. Проектирование. Комплексное тестирование. Программная документация,Иванова Галина Сергеевна,Кнорус:Бакалавриат,1226,1572,22,Ограничено
Алгоритмы и структуры данных. Учебное пособие,Мясникова Нелли Александровна,Кнорус:Бакалавриат,917,1176,22,На складе
Компьютерная арифметика. Учебное пособие. СПО (+CD),Иорданский Михаил Анатольевич,Лань:Компьютеры и программное обеспечение,1081,1386,22,На складе
Программирование. Практикум. Учебное пособие,Быкадорова Елена Анатольевна,Лань:Компьютеры и программное обеспечение,402,515,22,На складе
Системное программное обеспечение информационных мультимедиасистем. Учебное пособие,"Иванько Александр Федорович, Иванько Михаил Александрович",Лань:Компьютеры и программное обеспечение,770,987,22,На складе
Распределенные системы,"Таненбаум Эндрю, Стин ван Мартен",ДМК-Пресс,2743,3517,22,На складе
Основы алгоритмизации и программирования на PythonОсновы алгоритмизации и программирования на Python,Гуриков Сергей Ростиславович,Форум:Высшее образование: Бакалавриат,3810,4885,22,На складе
Android. Программирование для профессионалов,Филлипс Билл и др.,Питер:Для профессионалов,1354,2257,40,На складе
Алгебра и геометрия с примерами на Python. Учебное пособие,"Борзунов Сергей Викторович, Кургалин Сергей Дмитриевич",Лань:Компьютеры и программное обеспечение,3593,4607,22,На складе
Организация и архитектура ЭВМ. Вычислительные системы. Учебное пособие,Журавлев Антон Евгеньевич,Лань:Компьютеры и программное обеспечение,1319,1691,22,На складе
Корпоративные информационные системы. Администрирование сетевого домена. Учебное пособие,Журавлев Антон Евгеньевич и др.,Лань:Компьютеры и программное обеспечение,1710,2192,22,Ограничено
Введение в программирование на языке Visual Basic for Applications (VBA). Учебное пособие,Гуриков Сергей Ростиславович,ИНФРА-М:Среднее профессиональное образование,2649,3396,22,На складе
Hello World! Программирование для детей и взрослых,"Сэнд Уоррен, Сэнд Картер",ДМК-Пресс,1646,2110,22,На складе
Методология создания информационных систем. Учебное пособие,"Карминский Александр Маркович, Черников Борис Васильевич",ИНФРА-М:Среднее профессиональное образование,2325,2981,22,На складе
"Разработка бизнес-приложений на платформе ""1С: Предприятие"". Учебное пособие",Дадян Эдуард Григорьевич,ИНФРА-М:Среднее профессиональное образование,2366,3033,22,На складе
Время UNIX. A History and a Memoir,Керниган Брайан,Питер:Библиотека программиста,810,1350,40,На складе
Проектирование информационных систем. Учебное пособие. СПО,Вейцман Владимир Моисеевич,Лань:Компьютеры и программное обеспечение,2263,2901,22,На складе
Создание сайтов на основе WordPress. Учебное пособие. СПО,Сергеев Алексей Николаевич,Лань:Компьютеры и программное обеспечение,891,1142,22,Ограничено
"Интеграция управления программой и системной инженерии. Методы, инструменты и организационные систем",Мицуфуджи Акио и др.,ДМК-Пресс,2743,3517,22,На складе
Современный JavaScript для нетерпеливых,Хорстман Кэй С.,ДМК-Пресс,1646,2110,22,На складе
Инфокоммуникационные системы. Учебник,"Журавлев Антон Евгеньевич, Макшанов Андрей Владимирович",Лань:Компьютеры и программное обеспечение,2995,3840,22,На складе
Инфокоммуникационные системы. Учебник,Журавлев Антон Евгеньевич и др.,Лань:Компьютеры и программное обеспечение,2904,3723,22,На складе
Программирование на Rust. Официальный гайд,"Клабник Стив, Николс Кэрол",Питер:Для профессионалов,2079,3465,40,На складе
Проектирование информационных систем. Учебное пособие,Коваленко Владимир Васильевич,Форум:Высшее образование: Бакалавриат,2669,3422,22,На складе
Профессиональный TypeScript. Разработка масштабируемых JavaScript-приложений,Черный Борис,Питер:Бестселлеры O`Reilly,1034,1724,40,На складе
"Подробное руководство по DAX: бизнес-аналитика с Microsoft Power Bl, SQL Server Analysis Services","Феррари Альберто, Руссо Марко",ДМК-Пресс,3658,4690,22,На складе
Хаос-инжиниринг,"Розенталь Кейси, Джонс Нора",ДМК-Пресс,1829,2345,22,На складе
Цифровая обработка сигналов на системном уровне с использованием LabVIEW,"Кехтарнаваз Насер, Ким Намджин",ДМК-Пресс,1646,2110,22,На складе
"Дискретная оптимизация. Модели, методы, алгоритмы решения прикладных задач",Струченков Валерий Иванович,Солон-пресс:Библиотека профессионала,678,869,22,На складе
Базы данных. Учебник,Кумскова Ирина Александровна,Кнорус:Среднее профессиональное образование,1389,1781,22,На складе
Спортивное программирование,"Халим Стивен, Халим Феникс",ДМК-Пресс,2561,3283,22,На складе
Django 3.0. Практика создания веб-сайтов на Python,Дронов Владимир Александрович,BHV:Профессиональное программирование,1144,1467,22,На складе
Python и наука о данных для чайников,"Мюллер Джон Пол, Массарон Лука",Диалектика,1619,2075,22,На складе
Теоретический минимум по Computer Science. Все что нужно программисту и разработчику,Феррейра Фило Владстон,Питер:Библиотека программиста,524,874,40,На складе
Qt 5.10. Профессиональное программирование на C++,Шлее Макс,BHV:В подлиннике,1762,2259,22,На складе
Программирование искусственного интеллекта в приложениях,Джонс М. Тим,ДМК-Пресс:Для программистов,913,1171,22,На складе
Программирование на Ардуино. От простого к сложному,Мамичев Дмитрий Иванович,Солон-пресс:Радиоэлектроника,685,878,22,На складе
Unity для разработчика. Мобильные мультиплатформенные игры,"Мэннинг Джон, Батфилд-Эддисон Пэрис",Питер:Бестселлеры O`Reilly,642,1070,40,Ограничено
Запускаем Ansible,"Хохштейн Лорин, Мозер Рене",ДМК-Пресс,1829,2345,22,На складе
Современный Java. Рецепты программирования,Коузен Кен,ДМК-Пресс,1463,1876,22,Ограничено
"Программное обеспечение геодезии, фотограм, кадастра, инж.из.",Браверман Борис Аронович,Инфра-Инженерия,1034,1325,22,На складе
Собираем устройства для тестов на проникновение,Бирюков Андрей Александрович,ДМК-Пресс,1371,1758,22,На складе
Самоучитель PHP 7,"Кузнецов Максим Валерьевич, Симдянов Игорь Вячеславович",BHV:Самоучитель,566,725,22,На складе
Блокчейн. Разработка приложений,Прасти Нараян,BHV,513,658,22,На складе
Java. Карманный справочник,"Лигуори Роберт, Лигуори Патрисия",Вильямс,1080,1384,22,Ограничено
Чистая архитектура. Искусство разработки программного обеспечения,Мартин Роберт С.,Питер:Библиотека программиста,682,1137,40,На складе
Swift. Основы разработки приложений под iOS и macOS,Усов Василий,Питер,557,928,40,На складе
Объектно Ориентированное Программирование,Гаско Рик,Солон-пресс:Программирование,697,894,22,На складе
Простая Математика для Простых Программистов,Гаско Рик,Солон-пресс:Программирование,798,1023,22,На складе
Простой учебник программирования,Гаско Рик,Солон-пресс:Программирование,898,1151,22,На складе
Потоковая обработка данных. Конвейер реального времени,Пселтис Эндрю Дж.,ДМК-Пресс,1281,1642,22,На складе
Java для чайников,Берд Барри,"Диалектика:Для ""чайников""",1619,2075,22,На складе
Психбольница в руках пациентов. Алан Купер об интерфейсах,Купер Алан,Питер:Библиотека программиста,930,1550,40,На складе
OpenCV и Java. Обработка изображений и компьютерное зрение,Прохоренок Николай Анатольевич,BHV:Профессиональное программирование,635,814,22,На складе
"Высоконагруженные приложения. Программирование, масштабирование, поддержка",Клеппман Мартин,Питер:Бестселлеры O`Reilly,1803,3005,40,На складе
Глубокое обучение с точки зрения практика,"Паттерсон Джош, Гибсон Адам",ДМК-Пресс,2377,3048,22,На складе
Думай как программист. Креативный подход к созданию кода. C++ версия,Спрол Антон,Бомбора:Мировой компьютерный бестселлер,683,876,22,На складе
Релевантный поиск с использованием Elasticsearch и Solr,"Тарнбулл Даг, Берримен Джон",ДМК-Пресс,1646,2110,22,На складе
Изучаем pandas. Высокопроизводительная обработка и анализ в Python,Хейдт Майкл,ДМК-Пресс,1595,2045,22,Ограничено
Программирование на языке Rust. Цветное издание,"Блэнди Джим, Орендорф Джейсон",ДМК-Пресс,2743,3517,22,На складе
Angular 4. Быстрая разработка сверхдинамичных Web-сайтов на TypeScript и PHP,Дронов Владимир Александрович,BHV:Профессиональное программирование,758,972,22,На складе
Алгоритмы для начинающих. Теория и практика для разработчика,Луридас Панос,Бомбора:Мировой компьютерный бестселлер,1012,1297,22,На складе
Реактивные шаблоны проектирования,Кун Роланд и др.,Питер:Библиотека программиста,880,1466,40,Ограничено
Язык С в XXI веке,Клеменс Бен,ДМК-Пресс,1371,1758,22,На складе
Android. Сборник рецептов. Задачи и решения для разработчиков приложений,Дарвин Ян Ф.,Диалектика,3371,4322,22,На складе
Официальное руководство Cisco по подготовке к сертификационным экзаменам CCENT/CCNA ICND1 100-105,Одом Уэнделл,Вильямс,6741,8642,22,На складе
"Язык R в задачах науки о данных. Импорт, подготовка, обработка, визуализация и моделирование данных","Уикем Хэдли, Гроулмунд Гарретт",Вильямс,3371,4322,22,На складе
Теория и практика делового общения для разработчиков программного обеспечения и IT-менеджеров,Абельская Раиса Шолемовна,Флинта,246,316,22,На складе
Основы Data Science и Big Data. Python и наука о данных,Силен Дэви и др.,Питер:Библиотека программиста,1016,1694,40,На складе
Анализ социальных медиа на Python,Бонцанини Марко,ДМК-Пресс,1463,1876,22,На складе
Глубокое обучение (цветная),Бенджио Иошуа и др.,ДМК-Пресс,3477,4458,22,На складе
"Прямые и обратные задачи восстановления изображений, спектроскопии и томографии с MatLab (+CD)",Сизиков Валерий Сергеевич,Лань:Учебники для вузов. Специальная литература,2839,3640,22,На складе
Наиболее эффективное программирование на C#. 50 способов улучшения кода,Вагнер Билл,Вильямс,1619,2075,22,Ограничено
Функциональное программирование на JavaScript. Как улучшить код JavaScript-программ,Атенсио Луис,Вильямс,2696,3456,22,На складе
Разработка операционной системы и компилятора. Проект Оберон,"Вирт Никлаус, Гуткнехт Юрг",ДМК-Пресс:Классика программирования,1463,1876,22,На складе
CodeVisionAVR. Пособие для начинающих,Лебедев Михаил Борисович,ДМК-Пресс:Программируемые системы,1281,1642,22,На складе
"Как написать безопасный код на С++, Java, Perl, PHP, ASP.NET",Ховард Майкл и др.,ДМК-Пресс,913,1171,22,На складе
Scala. Профессиональное программирование,Одерски Мартин и др.,Питер:Библиотека программиста,1510,2516,40,На складе
Искусство алгоритмизации,Потопахин Виталий Валерьевич,ДМК-Пресс,1005,1289,22,На складе
Java 9. Полный обзор нововведений,Кишори Шаран,ДМК-Пресс:Программирование,1829,2345,22,На складе
Kotlin в действии,"Жемеров Дмитрий Борисович, Исакова Светлана Сергеевна",ДМК-Пресс,1646,2110,22,На складе
Конкурентное программирование на Scala,Прокопец Александр,ДМК-Пресс,1555,1993,22,На складе
Крупномасштабное машинное обучение вместе с Python,Шарден Бастиан и др.,ДМК-Пресс,1463,1876,22,На складе
Программирование на Clojure,Эмерик Чаз и др.,ДМК-Пресс:Функциональное программирование,2195,2814,22,На складе
C# 7.0. Карманный справочник. Скорая помощь для программистов на C# 7.0,"Албахари Джозеф, Албахари Бен",Вильямс,1080,1384,22,На складе
Адаптивный код. Гибкое кодирование с помощью паттернов проектирования и принципов SOLID,Холл Гэри Маклин,Вильямс,2696,3456,22,На складе
Секреты JavaScript ниндзя,Резиг Джон и др.,Вильямс,3371,4322,22,На складе
Курс программирования на языке Си. Учебник,"Подбельский Вадим Валерьевич, Фомин Сергей Сергеевич",ДМК-Пресс,1097,1407,22,На складе
СУБД для программиста. Базы данных изнутри,Тарасов Сергей Витальевич,Солон-пресс:Библиотека профессионала,1008,1292,22,На складе
Объектно-ориентированное программирование в С++,Лафоре Роберт,Питер:Классика computer science,1254,2090,40,На складе
Машинное обучение с использованием библиотеки Н2О,Кук Даррен,ДМК-Пресс,1463,1876,22,Ограничено
Программирование. Принципы и практика с использованием C++,Страуструп Бьярне,Вильямс,5202,6669,22,На складе
Создаем нейронную сеть,Рашид Тарик,Вильямс,2022,2592,22,На складе
Continuous delivery. Практика непрерывных апдейтов,Вольф Эберхард,Питер:Для профессионалов,789,1315,40,Ограничено
Библиотека Keras - инструмент глубокого обучения,"Джулли Антонио, Пал Суджит",ДМК-Пресс,1646,2110,22,На складе
Визуализация данных с помощью библиотеки D3.js 4.x,"Рининсланд Эндрю, Свизек Теллер",ДМК-Пресс,1281,1642,22,На складе
Шаблоны корпоративных приложений,Фаулер Мартин,Диалектика: ,4045,5186,22,На складе
Raspberry Pi. Сборник рецептов. Решение программных и аппаратных задач,Монк Саймон,Диалектика,2022,2592,22,На складе
JavaScript в примерах и задачах,Нет автора,Эксмо-Пресс:Российский компьютерный бестселлер,884,1133,22,На складе
Visual C# 2.0.NET. Полное руководство,"Прайс Дебора, Гандэрлой Майк",Корона-Принт: ,722,925,22,На складе
Предметно-ориентированное проектирование (DDD). Структуризация сложных программных систем,Эванс Эрик,Вильямс,5393,6914,22,На складе
Язык программирования C++. Лекции и упражнения,Прата Стивен,Диалектика,4045,5186,22,На складе
C++ для чайников,Дэвис Стефан Рэнди,"Диалектика:Для ""чайников""",1348,1728,22,На складе
Практикум по параллельному программированию,Борзунов Сергей Викторович и др.,BHV:Учебная литература для ВУЗов,574,736,22,На складе
"Программирование командных оболочек в Unix, Linux и OS X","Кочан Стефан, Вуд Патрик",Диалектика,2696,3456,22,На складе
Рефакторинг. Улучшение проекта существующего кода,Бек Кент и др.,Диалектика,2696,3456,22,На складе
Изучаем программирование на Python,Бэрри Пол,Эксмо:Мировой компьютерный бестселлер,1349,1730,22,На складе
Семь баз данных за семь недель. Введение в современные базы данных и идеологию NoSQL,"Редмонд Эрик, Уилсон Джим Р.",ДМК-Пресс,1281,1642,22,На складе
Математическое программирование. Учебное пособие,Карманов Владимир Георгиевич,Физматлит,551,706,22,Ограничено
jQuery в действии,Бибо Беэр и др.,Питер:Для профессионалов,862,1436,40,На складе
Шаблоны проектирования Node.JS,"Касиаро Марио, Маммино Лучано",ДМК-Пресс,1555,1993,22,На складе
Разработка современных веб-приложений. Анализ предметных областей и технологий,Эспозито Дино,Вильямс,3371,4322,22,На складе
Vulkan. Руководство разработчика,"Селлерс Грехем, Кессенич Джон",ДМК-Пресс,1737,2227,22,На складе
Основы программирования,Окулов Станислав Михайлович,Лаборатория знаний:Развитие интеллекта школьников,576,758,24,На складе
Введение в машинное обучение с помощью Python. Руководство для специалистов по работе с данными,"Мюллер Адреас П., Гвидо Сара",Вильямс,4045,5186,22,На складе
Машинное обучение,Бринк Хенрик и др.,Питер:Библиотека программиста,1195,1991,40,На складе
Среда динамического моделирования технических систем SimInTech,Карташов Борис Александрович и др.,ДМК-Пресс,1281,1642,22,На складе
"Алгоритмы. Справочник с примерами на C, C++, Java и Python",Хайнеман Джордж и др.,Вильямс,2696,3456,22,На складе
Изучаем JavaScript. Руководство по созданию современных веб-сайтов,Браун Этан,Вильямс,2022,2592,22,На складе
Софт за 30 дней. Как Scrum делает невозможное возможным,"Сазерленд Джефф, Швабер Кен","Манн, Иванов и Фербер:МИФ. Бизнес",1187,1522,22,На складе
"Delphi 2006. Справочное пособие. Язык Delphi, классы, функции Win32 и .NET.",Архангельский Алексей Яковлевич,Бином:Для программистов и разработчиков,750,961,22,На складе
Изучаем OpenCV 3,"Кэлер Адриан, Брэдски Гэри",ДМК-Пресс,3293,4222,22,На складе
Семь языков за семь недель. Практическое руководство по изучению языков программирования,Тейт Брюс,ДМК-Пресс,1187,1522,22,На складе
Принципы и методы создания надежного программного обеспечения АСУТП. Методическое пособие,Мякишев Дмитрий Владимирович,Инфра-Инженерия,726,931,22,Ограничено
Flash MX для профессиональных программистов. Учебное пособие,Капустин Михаил Анатольевич и др.,Просвещение/Бином:Основы информационных технологий,436,574,24,На складе
Программирование на Java для начинающих,Васильев Алексей Николаевич,Эксмо-Пресс:Российский компьютерный бестселлер,884,1133,22,На складе
Javascript и jQuery. Интерактивная веб-разработка,Дакетт Джон,Эксмо:Мировой компьютерный бестселлер,1856,2380,22,На складе
Предметно - ориентированное проектирование. Самое основное,Вернон Вон,Вильямс,2022,2592,22,Ограничено
Введение в Elixir. Введение в функциональное программирование,"Сенлорен Симон, Эйзенберг Дэвид",ДМК-Пресс,1281,1642,22,На складе
Моделирование аукционов,Демешев Борис Борисович,ДМК-Пресс,650,833,22,Ограничено
Как самому написать мобильную 2D-игру,Язев Юрий Евгеньевич,Солон-пресс:Библиотека профессионала,1008,1292,22,На складе
Python и машинное обучение,Рашка Себастьян,ДМК-Пресс,2377,3048,22,На складе
Проектирование пользовательского интерфейса Android,Клифтон Ян,ДМК-Пресс,1829,2345,22,На складе
Программирование на C в примерах и задачах,Васильев Алексей Николаевич,Эксмо-Пресс:Российский компьютерный бестселлер,969,1242,22,На складе
"Прикладная криптография. Протоколы, алгоритмы и исходный код на C",Шнайер Брюс,Диалектика,5945,7622,22,На складе
ASP.NET Core MVC с примерами на C# для профессионалов,Фримен Адам,Диалектика,4719,6050,22,На складе
"Стек, или Путешествие туда и обратно",Вторников Алексей Анатольевич,ДМК-Пресс,470,603,22,На складе
Программирование на Visual Basic для начинающих,МакГрат Майк,Эксмо-Пресс:Программирование для начинающих (обложка),560,718,22,На складе
Реактивное программирование с использованием RxJava,"Нуркевич Томаш, Кристенсен Бен",ДМК-Пресс,1555,1993,22,На складе
Изучаем PHP 7. Руководство по созданию интерактивных веб-сайтов,Скляр Дэвид,Диалектика,2022,2592,22,На складе
Go на практике,"Батчер Мэтт, Фарина Мэтт",ДМК-Пресс,1463,1876,22,На складе
Использование Docker,Моуэт Эдриен,ДМК-Пресс,1646,2110,22,На складе
Методы разработки математических моделей и вычислительный эксперимент на базе пакета MATLAB,Плохотников Константин Эдуардович,Солон-пресс,1708,2190,22,На складе
Программирование систем числового программного управления. учебное пособие (+CD),"Сосонкин Владимир Лазаревич, Мартинов Георгий",Логос:Новая университетская библиотека,981,1258,22,Ограничено
"Гибкая разработка программ на Java и C++. Принципы, паттерны и методики",Мартин Роберт С.,Диалектика,4045,5186,22,На складе
Цифровая обработка сигналов на языке Python,Дауни Аллен Б.,ДМК-Пресс,738,946,22,На складе
Эффективная работа с унаследованным кодом,Физерс Майкл К.,Вильямс: ,3716,4764,22,На складе
"Новые сложные задачи на C++. Серия ""C++ In-Depth""",Саттер Герб,Вильямс,1190,1526,22,Ограничено
"Непрерывное развертывание ПО. Автоматизация процессов сборки, тестирования и внедрения новых версий","Хамбл Джез, Фарли Дейвид",Вильямс,4045,5186,22,На складе
Программирование на C++ в примерах и задачах,Васильев Алексей Николаевич,Эксмо-Пресс:Российский компьютерный бестселлер,683,876,22,На складе
Cassandra. Полное руководство,"Карпентер Джефф, Хьюитт Эбен",ДМК-Пресс,1371,1758,22,На складе
Изучаем Angular 2,Дилеман Пабло,ДМК-Пресс,1281,1642,22,На складе
Разработка обслуживаемых программ на языке C#,Виссер Джуст,ДМК-Пресс,828,1061,22,На складе
Разработка обслуживаемых программ на языке Java,Виссер Джуст,ДМК-Пресс,828,1061,22,Ограничено
10 практических устройств на AVR-микроконтроллерах. Книга 1 (+CD),Кравченко Алексей Владимирович,Корона-Принт,397,509,22,На складе
XBRL для чайников,"Хоффман Чарльз, Уотсон Лив","Диалектика:Для ""чайников""",2022,2592,22,На складе
Разработка геоприложений на языке Python,Вестра Эрик,ДМК-Пресс,1555,1993,22,На складе
Инженерия требований,Халл Элизабет и др.,ДМК-Пресс,1281,1642,22,На складе
Программирование PIC - микроконтроллеров на PicBasic,Хелибайк Чак,Додека XXI век:Программируемые системы,828,1061,22,На складе
Введение в современные САПР. Курс лекций,Малюх Владимир Николаевич,ДМК-Пресс:САПР от А до Я,650,833,22,На складе
"Современные микроконтроллеры. Архитектура, программирование, разработка устройств",Магда Юрий Степанович,ДМК-Пресс,738,946,22,Ограничено
Функциональное программирование на F#,Сошников Дмитрий Валерьевич,ДМК-Пресс,650,833,22,На складе
Скользкие места С++. Как избежать проблем  при проектировании и компиляции ваших программ,Дьюхэрст Стефан К.,ДМК-Пресс:Профессиональная серия от Addison-Wesley,828,1061,22,На складе
