Название книги,Автор,Издательство,Цена со скидкой,Цена без скидки,Процент скидки,Наличие на складе
Глубокое обучение с подкреплением на Python. OpenAI Gym и TensorFlow для профи,Равичандиран Судхарсан,Питер:Библиотека программиста,902,1504,40,На складе
Основы Java,Прохоренок Николай Анатольевич,BHV,1179,1512,22,На складе
Машинное обучение с использованием Python. Сборник рецептов,Элбон Крис,BHV,795,1019,22,На складе
Грокаем глубокое обучение,Траск Эндрю,Питер:Библиотека программиста,731,1218,40,На складе
Практика реактивного программирования в SPRING 5,"Докука Олег, Лозинский Игорь",ДМК-Пресс,2743,3517,22,На складе
Как программировать на С,"Дейтел Харви, Дейтел Пол Дж.",Бином,1455,1866,22,На складе
Нейросетевые методы в обработке естественного языка,Гольдберг Йоав,ДМК-Пресс,2195,2814,22,На складе
Практическая энциклопедия Arduino,"Петин Виктор Александрович, Биняковский Александр Анатольевич",ДМК-Пресс,913,1171,22,На складе
Предиктивное моделирование на практике,"Кун Макс, Джонсон Кьелл",Питер:Для профессионалов,1663,2771,40,На складе
Микросервисы. Паттерны разработки и рефакторинга,Ричардсон Крис,Питер:Библиотека программиста,1295,2158,40,На складе
Выразительный JavaScript. Современное веб-программирование,Хавербеке Марейн,Питер:Для профессионалов,1338,2230,40,На складе
"Системы счисления, алгоритмизация и программирование. Учебное пособие",Игнашева Елена Петровна,ИНФРА-М:Военное образование,1658,2126,22,Ограничено
Объектно-ориентированное программирование. Учебник,Барков Игорь Александрович,Лань:Учебники для вузов. Специальная литература,4341,5565,22,На складе
Практическое введение в программную инженерию. Учебное пособие,Волк Владимир Константинович,Лань:Учебники для вузов. Специальная литература,1341,1719,22,Ограничено
Введение в технологии контейнеров и Kubernetes,Маркелов Андрей Александрович,ДМК-Пресс,1097,1407,22,На складе
Логическое проектирование и верификация систем на SystemVerilog,Дональд Томас,ДМК-Пресс,1829,2345,22,На складе
HTML5 и CSS3 для чайников,"Титтел Эд, Минник Крис","Диалектика:Для ""чайников""",1348,1728,22,Ограничено
C# для чайников,Мюллер Джон Пол и др.,"Диалектика:Для ""чайников""",1348,1728,22,На складе
Глубокое обучение. Готовые решения,Осинга Давид,Диалектика,1080,1384,22,На складе
Изучаем TypeScript 3,Розенталс Натан,ДМК-Пресс,2561,3283,22,На складе
Введение в веб-разработку на языке JavaScript. Учебное пособие,Государев Илья Борисович,Лань:Учебники для вузов. Специальная литература,1590,2038,22,На складе
